Asset 1,Asset 2
ELGIEQUIP,POLYMED
AARTIIND,OIL
GARFIBRES,HEROMOTOCO
HEROMOTOCO,HONAUT
HONAUT,SHOPERSTOP
CARBORUNIV,TATACOMM
HDFC,TRENT
CONCOR,SONATSOFTW
SONATSOFTW,TITAN
AEGISCHEM,MOIL
CHAMBLFERT,EIHOTEL
CHAMBLFERT,INDHOTEL
CHAMBLFERT,MAHINDCIE
CHAMBLFERT,SIEMENS
EIHOTEL,MAHINDCIE
INDHOTEL,MAHINDCIE
JSWENERGY,KEC
JSWENERGY,SRF
JSWENERGY,UPL
FCONSUMER,MUTHOOTFIN
BALRAMCHIN,ICICIBANK
GHCL,SOUTHBANK
LUPIN,SKFINDIA
GSFC,JKTYRE
HINDALCO,PRAJIND
ESCORTS,IDFC
ASHOKLEY,JAMNAAUTO
BANKBARODA,RCF
BANKINDIA,WELCORP
INDIACEM,VENKEYS
ITI,INDIANB
ITI,JSL
ITI,KOLTEPATIL
ITI,TV18BRDCST
JSL,KOLTEPATIL
KOLTEPATIL,TV18BRDCST
AIAENG,DRREDDY
HCLTECH,HINDUNILVR
HCLTECH,PFIZER
