STOCK1 STOCK2 PORTFOLIO_VALUE
AIAENG ADANIPORTS 111934.74720000009
AIAENG BLUEDART 107766.74693000008
AIAENG CARBORUNIV 112760.37656999998
AIAENG CERA 109165.34462000002
AIAENG CYIENT 106986.99577000004
AIAENG ENGINERSIN 112421.94722000006
AIAENG GEPIL 112504.13601
AIAENG GRINDWELL 109351.3624699999
AIAENG HAVELLS 108135.90213999996
AIAENG IRB 103747.84893000008
AIAENG KNRCON 105031.46039999994
AIAENG KAJARIACER 118475.04638000012
AIAENG KALPATPOWR 106032.12705000007
AIAENG KEC 108316.44804000005
AIAENG LAXMIMACH 115402.31729000006
AIAENG LT 116671.14166000008
AIAENG MMTC 120743.85110999999
AIAENG NBCC 105110.59072999998
AIAENG SCHNEIDER 101786.52419000001
AIAENG TRITURBINE 110325.15957000012
ADANIPORTS CERA 102743.67572999996
ADANIPORTS ELGIEQUIP 108953.03664000002
ADANIPORTS LT 107229.63082999992
ASHOKA CUMMINSIND 100424.57286999995
ASTRAL BLUESTARCO 125496.09823
ASTRAL HONAUT 108121.48424000005
ASTRAL NESCO 120700.51838999992
ASTRAL SIEMENS 119606.64348000004
BEML GMRINFRA 107387.33252999999
BEML NESCO 114790.29170999999
BEML ORIENTREF 105459.17276000003
BEML SKFINDIA 105342.90464000005
BEML VOLTAS 123188.85698
BALMLAWRIE CONCOR 103485.70189000003
BEL BLUESTARCO 117406.57120000002
BEL VGUARD 116032.8123299999
BLUEDART IRB 105998.60778999998
CYIENT MMTC 113365.85152000001
CYIENT TRITURBINE 108573.41544999999
ELGIEQUIP GRINDWELL 112074.21448000002
ELGIEQUIP HONAUT 118521.69315000005
ELGIEQUIP INDIGO 113189.66235000003
ELGIEQUIP LT 106570.58487000004
ELGIEQUIP VOLTAS 120651.53693000006
ENGINERSIN FINCABLES 100346.17801999998
ENGINERSIN GEPIL 105005.38018000004
ENGINERSIN HAVELLS 100333.74415000001
ENGINERSIN KSB 101509.89649000001
ENGINERSIN KAJARIACER 105094.40065999998
ENGINERSIN LAXMIMACH 101921.93024999995
ENGINERSIN MMTC 106691.15182999996
ENGINERSIN NBCC 102586.94497999996
ENGINERSIN NESCO 105595.55613999997
ESCORTS GPPL 116225.56853000003
FINCABLES LAXMIMACH 119291.38298
GODREJIND MMTC 136911.25812
GODREJIND TRITURBINE 104153.34374000001
GESHIP SKFINDIA 104272.31942
GPPL HAVELLS 109088.87998000001
GPPL INGERRAND 125728.45683000011
GPPL KEI 116119.15491999996
GPPL KNRCON 105535.65789999998
GPPL LAXMIMACH 116314.62896999999
GPPL NBCC 100331.00785000001
GPPL TRITURBINE 103200.8673200001
GPPL VGUARD 113056.76842999998
HAVELLS NCC 109678.89277000006
HAVELLS TRITURBINE 100681.59040999989
HONAUT SIEMENS 102849.98258999988
INGERRAND NESCO 114826.70075000002
INGERRAND SKFINDIA 105566.3311900001
INGERRAND TIMKEN 111962.45938000013
KEI VGUARD 104943.33752000003
KSB KAJARIACER 104702.81182000005
NBCC NCC 103460.28421000006
SUZLON TRITURBINE 100427.89175000007
TRITURBINE VGUARD 106627.08489000003
TRITURBINE VOLTAS 111970.17744999994
ACC UPL 108957.34131000002
AARTIIND ATUL 107400.17763000003
AARTIIND BIRLACORPN 118504.71813000005
AARTIIND HINDZINC 113206.93418999997
AARTIIND JKCEMENT 105198.75024999992
AARTIIND JKPAPER 102526.76742999995
AARTIIND MAHSEAMLES 108070.31091
AARTIIND NOCIL 121541.49085999989
AARTIIND NATIONALUM 103087.31709000001
AARTIIND PHILIPCARB 120515.4654299999
AARTIIND SOLARINDS 121871.63894000006
AARTIIND RAMCOCEM 117209.5303999999
AARTIIND ULTRACEMCO 106058.18955999998
AARTIIND WELCORP 101297.66366000002
AKZOINDIA ALKYLAMINE 107721.94685999997
AKZOINDIA BHARATRAS 103833.70289999996
AKZOINDIA KANSAINER 101093.07227999996
AKZOINDIA NAVINFLUOR 100735.99697000007
AKZOINDIA SUDARSCHEM 104294.07969999999
ALKYLAMINE NAVINFLUOR 114678.28529
AMBUJACEM HINDZINC 105168.25402000001
ASIANPAINT BHARATRAS 112265.39414999996
ASIANPAINT KANSAINER 107767.71300000008
BALAMINES CASTROLIND 103729.56537000001
BALAMINES JKPAPER 111015.42707
BERGEPAINT BHARATRAS 114035.55764999997
BIRLACORPN SRF 120061.58977000005
CENTURYTEX KANSAINER 111130.16344000003
CHAMBLFERT GRASIM 104454.03570999998
CHAMBLFERT GULFOILLUB 104902.79404
CHAMBLFERT JINDALSAW 103973.29815999995
CHAMBLFERT POLYPLEX 101562.41014000002
DEEPAKNTR PIIND 118540.50961999997
GHCL GSFC 102244.25987999998
GSFC HSCL 108912.01577000006
GULFOILLUB HSCL 100425.35683999996
GULFOILLUB JKCEMENT 114240.00933000007
GULFOILLUB PIIND 114224.13697000012
GULFOILLUB RATNAMANI 103514.12980000014
GULFOILLUB SRF 107960.65049000001
GULFOILLUB SHARDACROP 101701.73231000004
GULFOILLUB VEDL 101523.76501000003
JKCEMENT PIIND 116775.17424000005
JSWSTEEL SAIL 100139.83134999993
KANSAINER SUDARSCHEM 106502.12413000003
LINDEINDIA MOIL 122537.65257
LINDEINDIA NATIONALUM 117757.92791
LINDEINDIA NAVINFLUOR 119273.65819
LINDEINDIA PIIND 124108.22801000006
LINDEINDIA PRSMJOHNSN 100083.09150999988
LINDEINDIA RCF 118683.31127
LINDEINDIA RATNAMANI 110914.93654999998
LINDEINDIA SRF 126199.90519999994
LINDEINDIA SOLARINDS 107939.64619000006
LINDEINDIA UPL 110348.97457000002
LINDEINDIA ULTRACEMCO 120676.18301000005
MOIL VEDL 114260.66447000012
RAIN RCF 100015.17107999994
RAIN TATASTLBSL 113407.60349999995
RAIN VINATIORGA 112411.22398999998
RESPONIND SOLARINDS 101820.40928999998
RESPONIND SAIL 102035.61075999994
RESPONIND SUDARSCHEM 100141.24066
RESPONIND TATACHEM 102099.68225999996
RESPONIND UPL 104332.37263000001
SOLARINDS ULTRACEMCO 113862.99261
TATASTLBSL TATASTEEL 105643.69974000004
UPL ULTRACEMCO 112056.68295999992
AJANTPHARM POLYMED 113225.33614999994
AJANTPHARM STAR 100018.41658999996
ALEMBICLTD LALPATHLAB 119342.93314999991
ALEMBICLTD PFIZER 112362.54876999994
APLLTD CAPLIPOINT 126208.54341999997
ALKEM LALPATHLAB 113146.09633999999
APOLLOHOSP GLENMARK 114992.16961000004
ASTRAZEN GRANULES 103284.58672999997
DIVISLAB GRANULES 103927.33540999983
DRREDDY GLAXO 101440.61593999999
DRREDDY GRANULES 112439.53431999993
IOLCP INDOCO 131616.55807
