,Symbol,Sector
0,RELIANCE,Energy
1,TCS,Technology
2,HDFCBANK,Financial Services
3,INFY,Technology
4,HINDUNILVR,Consumer Defensive
5,HDFC,Financial Services
6,ICICIBANK,Financial Services
7,KOTAKBANK,Financial Services
8,SBIN,Financial Services
9,BAJFINANCE,Financial Services
10,BHARTIARTL,Communication Services
11,ITC,Consumer Defensive
12,HCLTECH,Technology
13,ASIANPAINT,Basic Materials
14,WIPRO,Technology
15,AXISBANK,Financial Services
16,MARUTI,Consumer Cyclical
17,LT,Industrials
18,ULTRACEMCO,Basic Materials
19,BAJAJFINSV,Financial Services
20,SUNPHARMA,Healthcare
21,ADANIPORTS,Industrials
22,TITAN,Consumer Cyclical
23,ONGC,Energy
24,HINDZINC,Basic Materials
25,ADANIENT,Energy
26,JSWSTEEL,Basic Materials
27,POWERGRID,Utilities
28,SHREECEM,Basic Materials
29,BAJAJ-AUTO,Consumer Cyclical
30,NTPC,Utilities
31,TATAMOTORS,Consumer Cyclical
32,ADANITRANS,Utilities
33,M&M,Consumer Cyclical
34,DIVISLAB,Healthcare
35,TECHM,Technology
36,DABUR,Consumer Defensive
37,GRASIM,Basic Materials
38,BPCL,Energy
39,PIDILITIND,Basic Materials
40,TATASTEEL,Basic Materials
41,BRITANNIA,Consumer Defensive
42,IOC,Energy
43,VEDL,Basic Materials
44,COALINDIA,Energy
45,DRREDDY,Healthcare
46,GODREJCP,Consumer Defensive
47,BERGEPAINT,Basic Materials
48,INDUSINDBK,Financial Services
49,HINDALCO,Basic Materials
50,EICHERMOT,Consumer Cyclical
51,DLF,Real Estate
52,HAVELLS,Industrials
53,CIPLA,Healthcare
54,SIEMENS,Industrials
55,MOTHERSUMI,Consumer Cyclical
56,INDIGO,Industrials
57,AMBUJACEM,Basic Materials
58,GAIL,Utilities
59,HEROMOTOCO,Consumer Cyclical
60,NAUKRI,Communication Services
61,MARICO,Consumer Defensive
62,AUROPHARMA,Healthcare
63,BIOCON,Healthcare
64,UPL,Basic Materials
65,MUTHOOTFIN,Financial Services
66,LUPIN,Healthcare
67,CHOLAFIN,Financial Services
68,CADILAHC,Healthcare
69,TORNTPHARM,Healthcare
70,COLPAL,Consumer Defensive
71,HONAUT,Industrials
72,APOLLOHOSP,Healthcare
73,BOSCHLTD,Consumer Cyclical
74,IDBI,Financial Services
75,PGHH,Consumer Defensive
76,MCDOWELL-N,Consumer Defensive
77,NMDC,Basic Materials
78,PEL,Financial Services
79,GODREJPROP,Real Estate
80,YESBANK,Financial Services
81,JUBLFOOD,Consumer Cyclical
82,PNB,Financial Services
83,BANKBARODA,Financial Services
84,GUJGASLTD,Utilities
85,BAJAJHLDNG,Financial Services
86,CONCOR,Industrials
87,SRTRANSFIN,Financial Services
88,IGL,Utilities
89,ACC,Basic Materials
90,JINDALSTEL,Basic Materials
91,MRF,Consumer Cyclical
92,HINDPETRO,Energy
93,MINDTREE,Technology
94,3MINDIA,Industrials
95,PIIND,Basic Materials
96,PAGEIND,Consumer Cyclical
97,PETRONET,Energy
98,ASHOKLEY,Consumer Cyclical
99,MPHASIS,Technology
