,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
0,AARTIIND,1244.0,1225.15,1175.0,1260.5,2021-01-21,None,0
1,ABBOTINDIA,15800.0,14647.95,14411.2,15746.0,2021-01-21,None,0
2,ABCAPITAL,85.0,91.7,86.8,89.1,2021-01-21,None,0
3,ABFRL,166.65,194.8,170.15,166.5,2021-01-21,None,0
4,ACC,1617.2,1726.65,1656.0,1626.1,2021-01-21,None,0
5,ADANIENT,477.0,552.95,531.55,491.15,2021-01-21,HHL,3
6,ADANIGREEN,1079.9,1056.0,1016.5,1065.95,2021-01-21,HHL,3
7,ADANIPORTS,485.0,561.85,542.65,503.85,2021-01-21,None,0
8,ADANITRANS,438.9,478.0,448.0,434.25,2021-01-21,HHL,2
9,AJANTPHARM,1643.1,1795.55,1735.6,1651.05,2021-01-21,None,0
10,ALKEM,2930.0,3129.25,3032.2,2950.75,2021-01-21,None,0
11,AMARAJABAT,928.0,992.6,966.3,925.05,2021-01-21,None,0
12,AMBUJACEM,249.0,265.35,249.1,250.85,2021-01-21,None,0
13,APLLTD,1035.0,989.0,933.7,1042.6,2021-01-21,None,0
14,APOLLOHOSP,2405.5,2685.0,2574.4,2414.85,2021-01-21,None,0
15,APOLLOTYRE,178.45,222.0,205.7,179.9,2021-01-21,HHL,3
16,ASHOKLEY,95.7,123.75,118.0,99.1,2021-01-21,None,0
17,ASIANPAINT,2759.0,2816.95,2695.0,2775.55,2021-01-21,HHL,3
18,AUBANK,855.0,924.8,905.0,875.35,2021-01-21,None,0
19,AUROPHARMA,923.7,938.0,897.5,927.75,2021-01-21,None,0
20,AXISBANK,620.25,695.0,669.75,623.8,2021-01-21,HHL,2
21,BAJAJ-AUTO,3446.0,3807.0,3655.2,3481.25,2021-01-21,HHL,3
22,BAJAJFINSV,8930.0,9388.85,8950.5,8870.45,2021-01-21,HHL,3
23,BAJAJHLDNG,3091.7,3280.0,3200.0,3119.15,2021-01-21,None,0
24,BAJFINANCE,5310.2,5225.0,4990.0,5280.15,2021-01-21,HHL,3
25,BALKRISIND,1646.0,1767.7,1677.45,1642.1,2021-01-21,HHL,3
26,BANDHANBNK,402.0,372.55,335.0,400.2,2021-01-21,None,0
27,BANKBARODA,61.8,80.8,75.15,64.5,2021-01-21,HHL,2
28,BANKINDIA,49.0,54.65,52.45,50.15,2021-01-21,None,0
29,BATAINDIA,1587.8,1650.0,1586.0,1573.9,2021-01-21,None,0
30,BBTC,1296.0,1280.5,1252.0,1304.75,2021-01-21,None,0
31,BEL,121.0,137.8,132.3,126.4,2021-01-21,None,0
