,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
0,AARTIIND,1244.0,1245.0,1242.1,1260.5,2021-02-09,HH,2
1,ABBOTINDIA,15800.0,14995.0,15698.0,15746.0,2021-02-09,HH,2
2,ABCAPITAL,85.0,92.4,84.8,89.1,2021-02-09,LH,1
3,ABFRL,166.65,172.25,165.9,166.5,2021-02-09,LH,1
4,ACC,1617.2,1779.0,1615.65,1626.1,2021-02-09,HH,3
5,ADANIENT,477.0,641.9,477.0,491.15,2021-02-09,HH,2
6,ADANIGREEN,1079.9,1116.0,1053.05,1065.95,2021-02-09,HH,1
7,ADANIPORTS,485.0,589.8,482.55,503.85,2021-02-09,LH,1
8,ADANITRANS,438.9,583.75,431.0,434.25,2021-02-09,LH,1
9,AJANTPHARM,1643.1,1829.0,1635.0,1651.05,2021-02-09,LH,1
10,ALKEM,2930.0,2921.15,2914.85,2950.75,2021-02-09,LH,2
11,AMARAJABAT,928.0,995.5,918.5,925.05,2021-02-09,HH,2
12,AMBUJACEM,249.0,279.45,248.15,250.85,2021-02-09,HH,3
13,APLLTD,1035.0,954.55,1034.0,1042.6,2021-02-09,LH,1
14,APOLLOHOSP,2405.5,2836.6,2395.0,2414.85,2021-02-09,HH,1
15,APOLLOTYRE,178.45,250.95,177.2,179.9,2021-02-09,LH,1
16,ASHOKLEY,95.7,137.05,95.7,99.1,2021-02-09,HH,1
17,ASIANPAINT,2759.0,2532.45,2750.0,2775.55,2021-02-09,HH,2
18,AUBANK,855.0,1081.0,847.25,875.35,2021-02-09,HH,4
19,AUROPHARMA,923.7,974.9,914.05,927.75,2021-02-09,HH,3
20,AXISBANK,620.25,750.0,617.55,623.8,2021-02-09,HH,1
21,BAJAJ-AUTO,3446.0,4238.0,3446.0,3481.25,2021-02-09,LH,3
22,BAJAJFINSV,8930.0,10068.0,8840.0,8870.45,2021-02-09,LH,1
23,BAJAJHLDNG,3091.7,3561.0,3071.2,3119.15,2021-02-09,LH,1
24,BAJFINANCE,5310.2,5539.0,5250.0,5280.15,2021-02-09,LH,1
25,BALKRISIND,1646.0,1875.0,1630.0,1642.1,2021-02-09,HH,4
26,BANDHANBNK,402.0,332.4,396.0,400.2,2021-02-09,LH,2
27,BANKBARODA,61.8,83.15,61.6,64.5,2021-02-09,LH,2
28,BANKINDIA,49.0,62.0,48.8,50.15,2021-02-09,LH,2
29,BATAINDIA,1587.8,1602.6,1570.25,1573.9,2021-02-09,HH,1
30,BBTC,1296.0,1248.8,1296.0,1304.75,2021-02-09,LH,2
31,BEL,121.0,142.0,120.6,126.4,2021-02-09,LH,2
32,BERGEPAINT,759.5,769.5,755.5,767.05,2021-02-09,HH,3
33,BHARATFORG,527.65,655.65,524.25,538.1,2021-02-09,HH,1
34,BHARTIARTL,512.25,607.75,508.2,515.15,2021-02-09,HH,1
35,BHEL,36.15,39.75,36.0,38.7,2021-02-09,LH,2
36,BIOCON,466.0,409.95,463.35,465.75,2021-02-09,LH,2
37,BOSCHLTD,12813.0,16772.0,12780.0,12986.05,2021-02-09,LH,1
38,BPCL,381.1,438.05,380.4,381.95,2021-02-09,HH,2
39,BRITANNIA,3575.0,3505.0,3563.05,3567.8,2021-02-09,LH,1
40,CADILAHC,477.75,477.75,476.75,478.4,2021-02-09,LH,2
41,CANBK,128.9,162.35,128.0,133.3,2021-02-09,LH,2
42,CASTROLIND,123.3,135.5,121.8,122.0,2021-02-09,HH,4
