,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
0,AARTIIND,1244.0,1298.0,1240.4,1260.5,2021-03-05,LHL,1
1,ABBOTINDIA,15800.0,14484.1,14228.0,15746.0,2021-02-26,None,0
2,ABCAPITAL,85.0,130.6,122.2,89.1,2021-03-05,LHL,1
3,ABFRL,166.65,164.55,161.0,166.5,2021-02-17,None,0
4,ACC,1617.2,1724.95,1686.05,1626.1,2021-02-23,None,0
5,ADANIENT,477.0,934.0,888.3,491.15,2021-03-05,LHL,1
6,ADANIGREEN,1079.9,1184.95,1101.55,1065.95,2021-02-26,None,0
7,ADANIPORTS,485.0,671.0,653.4,503.85,2021-02-24,None,0
8,ADANITRANS,438.9,853.0,755.0,434.25,2021-03-05,LHL,1
9,AJANTPHARM,1643.1,1787.05,1726.1,1651.05,2021-02-19,None,0
10,ALKEM,2930.0,2845.9,2777.0,2950.75,2021-03-05,LHL,2
11,AMARAJABAT,928.0,918.85,887.45,925.05,2021-03-05,LHL,1
12,AMBUJACEM,249.0,270.85,263.15,250.85,2021-02-23,None,0
13,APLLTD,1035.0,934.95,910.65,1042.6,2021-03-05,LHL,2
14,APOLLOHOSP,2405.5,3017.75,2870.0,2414.85,2021-03-05,LHL,3
15,APOLLOTYRE,178.45,258.8,239.0,179.9,2021-03-05,LHL,1
16,ASHOKLEY,95.7,131.2,125.0,99.1,2021-03-05,LHL,2
17,ASIANPAINT,2759.0,2360.0,2260.0,2775.55,2021-02-26,None,0
18,AUBANK,855.0,1158.55,1090.45,875.35,2021-02-26,None,0
19,AUROPHARMA,923.7,874.95,856.0,927.75,2021-03-05,LHL,2
20,AXISBANK,620.25,744.1,720.5,623.8,2021-03-05,LHL,2
21,BAJAJ-AUTO,3446.0,3913.25,3821.75,3481.25,2021-03-05,LHL,2
22,BAJAJFINSV,8930.0,10161.0,9900.05,8870.45,2021-03-05,LHL,1
23,BAJAJHLDNG,3091.7,3664.0,3557.6,3119.15,2021-03-05,LHL,2
24,BAJFINANCE,5310.2,5369.9,5195.0,5280.15,2021-03-01,None,0
25,BALKRISIND,1646.0,1636.15,1598.1,1642.1,2021-03-05,LHL,2
26,BANDHANBNK,402.0,354.4,343.05,400.2,2021-03-05,LHL,1
27,BANKBARODA,61.8,85.8,79.5,64.5,2021-03-05,LHL,1
28,BANKINDIA,49.0,80.5,76.5,50.15,2021-03-05,LHL,2
29,BATAINDIA,1587.8,1485.5,1434.15,1573.9,2021-02-26,None,0
30,BBTC,1296.0,1245.5,1195.0,1304.75,2021-03-05,LHL,1
