,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
0,AARTIIND,1244.0,1275.0,1153.0,1260.5,2021-02-02,HL,3
1,ABBOTINDIA,15800.0,15856.3,13959.8,15746.0,2021-02-02,LL,1
2,ABCAPITAL,85.0,89.8,83.8,89.1,2021-02-02,HL,1
3,ABFRL,166.65,168.8,150.55,166.5,2021-02-02,HL,1
4,ACC,1617.2,1632.0,1691.05,1626.1,2021-02-02,HL,1
5,ADANIENT,477.0,493.25,540.8,491.15,2021-02-02,HL,1
6,ADANIGREEN,1079.9,1079.9,1014.0,1065.95,2021-02-02,HL,2
7,ADANIPORTS,485.0,508.0,540.0,503.85,2021-02-02,HL,1
8,ADANITRANS,438.9,440.95,472.5,434.25,2021-02-02,HL,3
9,AJANTPHARM,1643.1,1659.4,1721.45,1651.05,2021-02-02,LL,2
10,ALKEM,2930.0,2984.0,2860.0,2950.75,2021-02-02,LL,3
11,AMARAJABAT,928.0,931.05,938.5,925.05,2021-02-02,HL,1
12,AMBUJACEM,249.0,251.7,261.1,250.85,2021-02-02,HL,2
13,APLLTD,1035.0,1050.0,956.15,1042.6,2021-02-02,HL,2
14,APOLLOHOSP,2405.5,2430.0,2678.0,2414.85,2021-02-02,HL,1
15,APOLLOTYRE,178.45,180.95,215.1,179.9,2021-02-02,HL,1
16,ASHOKLEY,95.7,99.9,124.0,99.1,2021-02-02,HL,1
17,ASIANPAINT,2759.0,2792.0,2425.1,2775.55,2021-02-02,HL,1
18,AUBANK,855.0,880.65,935.05,875.35,2021-02-02,HL,4
19,AUROPHARMA,923.7,934.7,910.6,927.75,2021-02-02,HL,1
20,AXISBANK,620.25,625.45,704.2,623.8,2021-02-02,HL,3
21,BAJAJ-AUTO,3446.0,3494.0,4117.25,3481.25,2021-02-02,HL,1
22,BAJAJFINSV,8930.0,8958.7,9315.0,8870.45,2021-02-02,HL,1
23,BAJAJHLDNG,3091.7,3136.85,3317.85,3119.15,2021-02-02,HL,1
24,BAJFINANCE,5310.2,5338.0,5094.9,5280.15,2021-02-02,HL,1
25,BALKRISIND,1646.0,1652.8,1636.0,1642.1,2021-02-02,HL,1
26,BANDHANBNK,402.0,404.95,328.45,400.2,2021-02-02,HL,1
27,BANKBARODA,61.8,64.8,73.35,64.5,2021-02-02,HL,3
28,BANKINDIA,49.0,50.4,51.6,50.15,2021-02-02,HL,3
29,BATAINDIA,1587.8,1592.25,1518.15,1573.9,2021-02-02,HL,1
30,BBTC,1296.0,1321.65,1245.0,1304.75,2021-02-02,HL,2
31,BEL,121.0,128.0,131.4,126.4,2021-02-02,HL,1
32,BERGEPAINT,759.5,769.95,720.7,767.05,2021-02-02,HL,1
33,BHARATFORG,527.65,540.0,618.5,538.1,2021-02-02,HL,1
34,BHARTIARTL,512.25,516.4,579.25,515.15,2021-02-02,HL,1
35,BHEL,36.15,39.0,38.05,38.7,2021-02-02,HL,1
36,BIOCON,466.0,468.5,379.1,465.75,2021-02-02,HL,1
37,BOSCHLTD,12813.0,13095.0,16150.0,12986.05,2021-02-02,HL,2
38,BPCL,381.1,384.0,393.25,381.95,2021-02-02,HL,1
39,BRITANNIA,3575.0,3605.0,3483.75,3567.8,2021-02-02,HL,2
40,CADILAHC,477.75,482.85,453.7,478.4,2021-02-02,HL,1
41,CANBK,128.9,134.45,141.05,133.3,2021-02-02,HL,3
42,CASTROLIND,123.3,124.4,125.7,122.0,2021-02-02,LL,2
43,CESC,617.0,623.95,621.25,620.65,2021-02-02,HL,1
44,CHOLAFIN,387.65,415.9,434.0,411.35,2021-02-02,HL,2
45,CIPLA,822.8,828.95,801.5,826.6,2021-02-02,HL,1
46,COALINDIA,135.4,136.25,129.65,135.35,2021-02-02,HL,2
47,COFORGE,2703.25,2748.0,2384.05,2722.25,2021-02-02,HL,1
48,COLPAL,1565.0,1581.95,1607.1,1578.45,2021-02-02,HL,5
49,CONCOR,400.45,405.5,450.15,403.4,2021-02-02,HL,1
50,COROMANDEL,813.9,832.0,775.5,813.65,2021-02-02,LL,2
51,CROMPTON,382.0,385.9,403.2,378.05,2021-02-02,LL,1
52,CUB,180.1,181.6,173.1,180.45,2021-02-02,HL,3
53,CUMMINSIND,575.5,584.5,730.0,581.35,2021-02-02,HL,7
54,DABUR,534.0,538.45,524.4,534.2,2021-02-02,HL,2
55,DALBHARAT,1083.9,1098.5,1204.0,1094.5,2021-02-02,HL,4
56,DEEPAKNTR,949.0,999.0,978.0,987.85,2021-02-02,HL,1
57,DHANI,321.65,325.9,355.45,313.4,2021-02-02,HL,3
58,DIVISLAB,3839.0,3867.9,3446.1,3849.05,2021-02-02,HL,1
59,DIXON,13514.05,13650.0,15301.0,13621.9,2021-02-02,HL,4
60,DLF,232.85,240.45,278.85,238.35,2021-02-02,HL,3
61,DMART,2767.0,2804.1,2781.7,2789.1,2021-02-02,HL,2
62,DRREDDY,5217.25,5254.85,4381.0,5241.35,2021-02-02,LL,8
63,EICHERMOT,2531.0,2555.0,2825.95,2542.7,2021-02-02,HL,1
64,EMAMILTD,425.4,425.95,472.1,423.7,2021-02-02,HL,2
