Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,71.000000,74.699997,70.550003,73.800003,72.003395,490411
2015-01-02,73.500000,74.900002,72.800003,73.449997,71.661896,252761
2015-01-05,73.000000,74.500000,73.000000,73.349998,71.564346,134899
2015-01-06,72.500000,72.599998,69.650002,70.050003,68.344673,164543
2015-01-07,70.000000,70.699997,68.300003,68.900002,67.222679,186557
2015-01-08,69.349998,71.750000,69.349998,70.949997,69.222763,184440
2015-01-09,71.449997,71.650002,70.000000,70.150002,68.442245,123438
2015-01-12,70.550003,70.750000,69.650002,70.300003,68.588600,102340
2015-01-13,71.000000,75.150002,70.000000,72.599998,70.832603,1004379
2015-01-14,72.500000,74.000000,71.000000,71.800003,70.052078,241416
2015-01-15,72.000000,72.800003,71.349998,71.699997,69.954506,134011
2015-01-16,71.150002,72.949997,71.099998,71.349998,69.613037,148663
2015-01-19,71.050003,72.250000,71.000000,71.099998,69.369118,112029
2015-01-20,71.150002,73.800003,71.150002,71.699997,69.954506,323102
2015-01-21,71.800003,72.400002,70.650002,71.150002,69.417900,150198
2015-01-22,71.900002,72.099998,70.550003,71.000000,69.271553,159068
2015-01-23,71.500000,71.849998,70.199997,70.650002,68.930084,159827
2015-01-27,70.800003,71.949997,70.349998,70.599998,68.881287,141716
2015-01-28,70.599998,70.900002,69.500000,69.849998,68.149544,161896
2015-01-29,69.800003,71.099998,69.349998,69.949997,68.247108,123033
2015-01-30,70.900002,71.400002,69.500000,69.699997,68.003197,137297
2015-02-02,69.699997,70.449997,69.699997,70.000000,68.295898,77663
2015-02-03,70.300003,71.250000,70.000000,70.199997,68.491035,145558
2015-02-04,70.750000,71.949997,70.300003,71.000000,69.271553,263387
2015-02-05,71.349998,73.550003,70.400002,71.250000,69.515472,475827
2015-02-06,69.000000,70.599998,67.750000,69.849998,68.149544,372806
2015-02-09,69.349998,69.349998,68.250000,68.500000,66.832420,124803
2015-02-10,68.300003,69.199997,68.099998,68.849998,67.173889,134305
2015-02-11,69.300003,70.349998,68.300003,69.750000,68.051979,119525
2015-02-12,69.750000,70.750000,68.750000,70.050003,68.344673,140202
2015-02-13,70.500000,71.400002,69.699997,70.050003,68.344673,129578
2015-02-16,71.699997,71.699997,69.750000,70.150002,68.442245,189846
2015-02-18,71.349998,72.000000,70.800003,71.050003,69.320335,175460
2015-02-19,71.400002,81.500000,71.150002,77.750000,75.857224,3700250
2015-02-20,77.699997,79.300003,74.599998,76.000000,74.149834,936323
2015-02-23,76.250000,78.250000,74.699997,75.199997,73.369301,339612
2015-02-24,75.250000,75.650002,72.050003,72.449997,70.686256,331443
2015-02-25,72.650002,74.250000,72.099998,72.400002,70.637474,252795
2015-02-26,73.199997,73.500000,71.000000,71.550003,69.808167,231749
2015-02-27,72.300003,73.699997,71.599998,72.750000,70.978951,368947
2015-02-28,null,null,null,null,null,null
2015-03-02,72.099998,72.800003,71.050003,71.550003,69.808167,145096
2015-03-03,72.449997,74.199997,71.199997,72.800003,71.027733,532426
2015-03-04,73.099998,74.000000,71.250000,71.599998,69.856941,295180
2015-03-05,71.500000,73.949997,71.099998,73.699997,71.905830,285356
2015-03-09,74.300003,74.300003,71.349998,71.750000,70.003288,136805
2015-03-10,72.449997,73.699997,70.800003,73.050003,71.271660,286385
2015-03-11,73.699997,74.199997,71.400002,73.699997,71.905830,257113
2015-03-12,76.000000,76.599998,72.099998,72.500000,70.735039,765212
2015-03-13,73.199997,73.800003,71.000000,71.849998,70.100861,266695
2015-03-16,73.300003,74.000000,71.000000,71.300003,69.564255,357847
2015-03-17,71.949997,71.949997,70.599998,71.400002,69.661819,224880
2015-03-18,72.949997,74.150002,71.400002,71.699997,69.954506,852199
2015-03-19,72.400002,72.400002,70.199997,70.599998,68.881287,180242
2015-03-20,70.599998,72.900002,68.400002,68.750000,67.076324,344743
2015-03-23,69.000000,69.150002,67.099998,67.449997,65.807968,181076
2015-03-24,67.900002,67.949997,65.599998,65.900002,64.295715,203711
2015-03-25,66.000000,66.500000,64.000000,64.150002,62.588314,191426
2015-03-26,64.000000,64.000000,61.400002,61.799999,60.295521,214367
2015-03-27,62.299999,62.799999,60.099998,60.500000,59.027168,223451
2015-03-30,61.400002,63.799999,60.549999,63.000000,61.466309,343410
2015-03-31,66.000000,66.000000,63.049999,63.599998,62.051701,519218
2015-04-01,63.700001,65.550003,62.599998,64.949997,63.368832,253656
2015-04-06,65.400002,65.599998,64.400002,65.150002,63.563969,148668
2015-04-07,65.650002,67.500000,65.199997,66.500000,64.881104,337877
2015-04-08,67.199997,68.349998,66.500000,67.000000,65.368927,269681
