Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,692.250000,697.450012,674.974976,682.849976,672.836426,216066
2015-01-02,683.500000,694.450012,681.599976,685.750000,675.693848,349278
2015-01-05,688.775024,699.750000,686.500000,690.150024,680.029358,230954
2015-01-06,688.000000,689.000000,662.500000,668.099976,658.302673,387030
2015-01-07,668.049988,674.500000,647.525024,659.525024,649.853455,440028
2015-01-08,669.224976,679.849976,662.700012,675.950012,666.037598,376492
2015-01-09,682.500000,689.900024,677.599976,687.750000,677.664490,258030
2015-01-12,687.500000,710.775024,687.500000,709.200012,698.799988,386416
2015-01-13,711.000000,718.900024,691.075012,698.549988,688.306213,368032
2015-01-14,701.000000,707.000000,690.000000,699.049988,688.798828,317352
2015-01-15,704.924988,713.125000,691.174988,707.075012,696.706177,420104
2015-01-16,704.500000,714.474976,695.224976,708.825012,698.430481,375280
2015-01-19,711.000000,713.500000,700.500000,703.450012,693.134338,238390
2015-01-20,704.974976,706.000000,686.375000,691.025024,680.891541,263344
2015-01-21,696.000000,704.500000,687.700012,700.200012,689.932007,323798
2015-01-22,697.025024,713.950012,696.025024,702.500000,692.198181,418436
2015-01-23,702.500000,708.000000,691.500000,697.174988,686.951294,158286
2015-01-27,699.500000,713.500000,695.375000,710.750000,700.327271,496434
2015-01-28,713.500000,728.000000,705.000000,712.875000,702.421143,649218
2015-01-29,713.525024,719.000000,692.674988,708.700012,698.307373,339480
2015-01-30,711.000000,716.125000,688.150024,695.025024,684.832886,414388
2015-02-02,695.000000,707.000000,694.125000,700.875000,690.597046,168506
2015-02-03,700.049988,704.125000,686.500000,694.049988,683.872131,257308
2015-02-04,694.275024,695.849976,666.299988,673.599976,663.722046,1315204
2015-02-05,673.500000,724.200012,663.875000,715.974976,705.475586,4318964
2015-02-06,716.974976,754.849976,705.000000,737.875000,727.054443,4003088
2015-02-09,733.500000,745.000000,722.000000,728.125000,717.447388,535928
2015-02-10,725.000000,765.750000,722.250000,761.849976,750.677856,1115886
2015-02-11,767.500000,784.000000,764.650024,773.900024,762.551208,674672
2015-02-12,771.000000,820.575012,767.000000,812.349976,800.437317,1610130
2015-02-13,812.500000,816.000000,795.000000,811.549988,799.649109,562780
2015-02-16,810.049988,829.000000,809.000000,817.900024,805.906006,344792
2015-02-18,815.500000,847.500000,813.500000,844.325012,831.943481,608738
2015-02-19,840.500000,842.000000,808.025024,812.775024,800.856140,1127680
2015-02-20,806.500000,822.875000,800.575012,808.849976,796.988647,373814
2015-02-23,795.000000,824.174988,785.500000,796.075012,784.401062,329014
2015-02-24,796.000000,836.474976,796.000000,832.799988,820.587402,686554
2015-02-25,838.450012,859.549988,834.000000,840.599976,828.273132,1084794
2015-02-26,840.599976,855.849976,812.825012,841.349976,829.012024,728194
2015-02-27,842.775024,856.474976,821.224976,829.049988,816.892395,568704
2015-02-28,null,null,null,null,null,null
2015-03-02,821.299988,836.500000,809.900024,832.275024,820.070190,326372
2015-03-03,829.950012,849.174988,829.950012,837.700012,825.415649,338950
2015-03-04,840.500000,846.000000,816.900024,821.625000,809.576355,337508
2015-03-05,825.650024,830.000000,813.750000,819.500000,807.482422,149786
2015-03-09,815.500000,823.224976,795.724976,798.974976,787.258545,298824
2015-03-10,797.500000,801.650024,778.750000,788.750000,777.183411,333832
2015-03-11,787.500000,787.500000,769.500000,775.974976,764.595764,443044
2015-03-12,785.500000,812.000000,785.000000,808.875000,797.013306,634754
2015-03-13,811.450012,815.000000,786.174988,794.575012,782.923096,432284
2015-03-16,792.000000,794.500000,776.025024,780.525024,769.079102,191278
2015-03-17,783.000000,792.724976,776.000000,779.625000,768.192261,349062
2015-03-18,774.000000,784.000000,770.000000,776.174988,764.792725,367044
2015-03-19,789.000000,789.000000,756.000000,759.900024,748.756470,327936
2015-03-20,761.000000,804.000000,739.775024,793.224976,781.592773,967574
2015-03-23,797.500000,799.750000,777.500000,787.724976,776.173462,239874
2015-03-24,787.500000,788.799988,754.150024,759.400024,748.263855,575866
2015-03-25,764.974976,774.450012,745.525024,762.349976,751.170593,572144
2015-03-26,764.000000,767.000000,733.400024,745.599976,734.666199,1026716
2015-03-27,752.450012,760.549988,726.250000,754.250000,743.189392,364068
2015-03-30,755.250000,774.974976,742.525024,748.599976,737.622192,411778
2015-03-31,755.000000,757.349976,735.575012,739.174988,728.335327,400134
2015-04-01,743.000000,754.625000,731.174988,738.275024,727.448669,581110
2015-04-06,743.000000,766.349976,737.450012,764.299988,753.091980,414984
2015-04-07,771.474976,785.000000,762.500000,779.200012,767.773560,657826
2015-04-08,784.849976,806.549988,781.150024,803.000000,791.224426,475734
2015-04-09,804.474976,809.974976,793.500000,802.424988,790.657959,462000
2015-04-10,802.500000,818.250000,792.474976,804.125000,792.333008,404956
2015-04-13,799.950012,812.500000,794.474976,797.174988,785.484863,164196
2015-04-15,798.000000,806.525024,774.000000,778.849976,767.428589,233150
2015-04-16,778.450012,786.450012,760.000000,762.674988,751.490784,210344
2015-04-17,763.825012,769.750000,730.049988,737.224976,726.414001,316440
2015-04-20,738.000000,743.674988,706.500000,719.599976,709.047424,492872
2015-04-21,716.000000,736.924988,707.525024,716.974976,706.460938,471036
2015-04-22,720.500000,725.625000,696.875000,714.775024,704.293213,1218914
2015-04-23,718.000000,733.250000,704.500000,710.375000,699.957764,466476
2015-04-24,709.974976,714.674988,700.000000,704.375000,694.045776,267322
2015-04-27,704.500000,717.625000,679.825012,693.950012,683.773682,508522
2015-04-28,691.750000,712.000000,682.474976,709.275024,698.873901,1026700
2015-04-29,708.500000,732.099976,706.500000,726.224976,715.575256,417420
2015-04-30,721.000000,760.000000,714.299988,745.599976,734.666199,717586
2015-05-04,749.000000,757.474976,742.750000,751.525024,740.504333,190980
2015-05-05,749.000000,772.349976,742.500000,747.000000,736.045654,144302
2015-05-06,745.000000,746.575012,696.375000,701.200012,690.917358,334254
2015-05-07,698.000000,722.000000,693.500000,710.075012,699.662170,365862
2015-05-08,715.049988,724.924988,702.549988,715.450012,704.958313,182848
2015-05-11,715.549988,743.750000,715.450012,737.724976,726.906616,467160
2015-05-12,737.724976,740.000000,717.500000,731.750000,721.019287,198862
2015-05-13,730.075012,780.900024,730.075012,775.825012,764.447998,769986
2015-05-14,777.500000,796.000000,770.000000,783.150024,771.665588,1435382
2015-05-15,816.000000,887.500000,816.000000,876.099976,863.252441,5940012
2015-05-18,876.500000,883.575012,860.075012,876.575012,863.720581,1176046
2015-05-19,869.150024,894.875000,868.500000,878.924988,866.036011,872554
2015-05-20,880.000000,892.299988,876.049988,880.224976,867.316956,762794
2015-05-21,882.500000,895.000000,874.025024,883.099976,870.149841,799998
2015-05-22,881.000000,887.000000,872.599976,875.700012,862.858398,403764
2015-05-25,870.025024,879.799988,866.000000,871.974976,859.188049,205996
2015-05-26,865.000000,877.900024,864.075012,873.599976,860.789124,408094
2015-05-27,858.549988,888.150024,858.549988,879.049988,866.159180,575562
2015-05-28,885.000000,886.000000,869.500000,878.549988,865.666565,564126
2015-05-29,873.474976,900.974976,872.000000,895.275024,882.146362,1079508
2015-06-01,890.000000,911.000000,890.000000,906.900024,893.600891,423114
2015-06-02,905.000000,906.500000,867.150024,875.650024,862.809021,592790
2015-06-03,880.000000,883.500000,851.250000,874.075012,861.257263,454980
2015-06-04,877.325012,877.325012,860.000000,865.400024,852.709412,198612
2015-06-05,861.125000,872.349976,850.500000,853.950012,841.427307,143646
2015-06-08,850.075012,860.500000,836.750000,845.775024,833.372192,196760
2015-06-09,845.000000,846.500000,829.849976,837.500000,825.218506,210092
