Date,Open,High,Low,Close,Adj Close,Volume,Name,Sector
2016-01-01,374.5,374.5,362.75,366.75,339.56683349609375,1516,ALKYLAMINE,Basic Materials
2016-01-04,370.0,380.0,343.04998779296875,346.6000061035156,320.91033935546875,7872,ALKYLAMINE,Basic Materials
2016-01-05,357.79998779296875,359.5,340.0,354.20001220703125,327.947021484375,3752,ALKYLAMINE,Basic Materials
2016-01-06,355.0,364.0,339.8999938964844,345.3500061035156,319.7529602050781,6369,ALKYLAMINE,Basic Materials
2016-01-07,349.0,358.0,335.5,346.45001220703125,320.7714538574219,3773,ALKYLAMINE,Basic Materials
2016-01-08,343.1499938964844,352.8999938964844,339.04998779296875,347.75,321.9750671386719,1000,ALKYLAMINE,Basic Materials
2016-01-11,349.0,352.95001220703125,344.04998779296875,347.29998779296875,321.5584411621094,1571,ALKYLAMINE,Basic Materials
2016-01-12,347.0,361.0,345.04998779296875,350.45001220703125,324.4749755859375,10670,ALKYLAMINE,Basic Materials
2016-01-13,351.0,354.3500061035156,312.8999938964844,350.20001220703125,324.2435302734375,7966,ALKYLAMINE,Basic Materials
2016-01-14,335.0,347.0,308.20001220703125,340.8500061035156,315.5865478515625,4404,ALKYLAMINE,Basic Materials
2016-01-15,342.79998779296875,357.3999938964844,325.0,330.1499938964844,305.6795959472656,6819,ALKYLAMINE,Basic Materials
2016-01-18,339.79998779296875,345.0,305.0,310.6000061035156,287.57867431640625,12983,ALKYLAMINE,Basic Materials
2016-01-19,311.25,322.0,305.0,312.79998779296875,289.6155700683594,7135,ALKYLAMINE,Basic Materials
2016-01-20,310.04998779296875,314.8999938964844,305.0,311.8999938964844,288.78228759765625,7401,ALKYLAMINE,Basic Materials
2016-01-21,312.0,318.6000061035156,310.20001220703125,312.3500061035156,289.19891357421875,2738,ALKYLAMINE,Basic Materials
2016-01-22,311.25,339.8999938964844,310.04998779296875,331.79998779296875,307.2073059082031,6386,ALKYLAMINE,Basic Materials
2016-01-25,335.0,344.6000061035156,327.1000061035156,336.75,311.7904052734375,4204,ALKYLAMINE,Basic Materials
2016-01-27,322.04998779296875,347.95001220703125,322.04998779296875,328.70001220703125,304.3370666503906,6172,ALKYLAMINE,Basic Materials
2016-01-28,322.1000061035156,337.8999938964844,322.0,326.79998779296875,302.577880859375,1773,ALKYLAMINE,Basic Materials
2016-01-29,330.0,330.0,315.0,317.6499938964844,294.1060791015625,1794,ALKYLAMINE,Basic Materials
2016-02-01,328.0,328.0,315.54998779296875,317.1499938964844,293.64312744140625,3338,ALKYLAMINE,Basic Materials
2016-02-02,320.0,324.79998779296875,305.0,306.3999938964844,283.68994140625,10831,ALKYLAMINE,Basic Materials
2016-02-03,306.3999938964844,311.8999938964844,305.0,308.54998779296875,285.6805114746094,5952,ALKYLAMINE,Basic Materials
2016-02-04,310.04998779296875,312.79998779296875,307.0,310.0,287.0231018066406,2353,ALKYLAMINE,Basic Materials
2016-02-05,313.0,320.04998779296875,313.0,317.0,293.5042724609375,1500,ALKYLAMINE,Basic Materials
2016-02-08,310.3500061035156,316.6499938964844,310.0,312.1499938964844,289.01373291015625,631,ALKYLAMINE,Basic Materials
2016-02-09,309.0,319.0,305.0,312.6499938964844,289.4766845703125,1781,ALKYLAMINE,Basic Materials
2016-02-10,312.04998779296875,312.04998779296875,303.70001220703125,308.95001220703125,286.05096435546875,4572,ALKYLAMINE,Basic Materials
2016-02-11,304.20001220703125,312.0,294.0,301.54998779296875,279.19940185546875,9881,ALKYLAMINE,Basic Materials
2016-02-12,297.04998779296875,311.0,297.0,306.70001220703125,283.9677429199219,3664,ALKYLAMINE,Basic Materials
2016-02-15,296.8500061035156,314.8999938964844,296.04998779296875,305.6000061035156,282.9492492675781,1806,ALKYLAMINE,Basic Materials
2016-02-16,305.25,308.20001220703125,303.95001220703125,305.1499938964844,282.5325927734375,1345,ALKYLAMINE,Basic Materials
2016-02-17,308.0,308.0,297.3500061035156,300.0,277.7642822265625,3699,ALKYLAMINE,Basic Materials
2016-02-18,301.54998779296875,301.54998779296875,279.0,299.1499938964844,276.977294921875,5802,ALKYLAMINE,Basic Materials
2016-02-19,296.0,304.5,293.1499938964844,299.8999938964844,277.6717224121094,1449,ALKYLAMINE,Basic Materials
2016-02-22,297.04998779296875,316.95001220703125,297.0,299.3999938964844,277.208740234375,6952,ALKYLAMINE,Basic Materials
2016-02-23,309.70001220703125,309.79998779296875,298.1000061035156,300.0,277.7642822265625,1781,ALKYLAMINE,Basic Materials
2016-02-24,298.0,303.5,296.5,298.6000061035156,276.4680480957031,2883,ALKYLAMINE,Basic Materials
2016-02-25,295.1000061035156,314.70001220703125,289.8999938964844,291.29998779296875,269.7090759277344,3743,ALKYLAMINE,Basic Materials
2016-02-26,290.1000061035156,295.0,285.25,290.25,268.7369384765625,3813,ALKYLAMINE,Basic Materials
2016-02-29,285.25,294.95001220703125,284.0,288.70001220703125,267.3018493652344,1585,ALKYLAMINE,Basic Materials
2016-03-01,290.1499938964844,306.0,289.0,292.95001220703125,271.23687744140625,10853,ALKYLAMINE,Basic Materials
2016-03-02,304.79998779296875,308.0,298.04998779296875,302.79998779296875,280.35675048828125,849,ALKYLAMINE,Basic Materials
