Date,Open,High,Low,Close,Adj Close,Volume,Name,Sector
2016-01-01,951.0499877929688,951.0499877929688,921.0,925.7000122070312,917.1167602539062,26472,BASF,Basic Materials
2016-01-04,925.0,939.0,920.0,931.3499755859375,922.7142944335938,15052,BASF,Basic Materials
2016-01-05,925.9500122070312,945.0,923.0,931.9000244140625,923.2593994140625,8013,BASF,Basic Materials
2016-01-06,932.4000244140625,944.75,927.0,931.7000122070312,923.0611572265625,7008,BASF,Basic Materials
2016-01-07,932.6500244140625,932.6500244140625,908.0999755859375,912.5,904.0391235351562,15937,BASF,Basic Materials
2016-01-08,917.0499877929688,925.0,904.7999877929688,911.3499755859375,902.8997802734375,6848,BASF,Basic Materials
2016-01-11,916.9000244140625,919.0,901.1500244140625,913.0499877929688,904.5841064453125,6044,BASF,Basic Materials
2016-01-12,912.1500244140625,919.0,875.0,881.7000122070312,873.5247192382812,20468,BASF,Basic Materials
2016-01-13,892.2999877929688,897.7999877929688,855.0499877929688,887.7999877929688,879.568115234375,72400,BASF,Basic Materials
2016-01-14,880.0,888.0,863.0,877.9000244140625,869.760009765625,9019,BASF,Basic Materials
2016-01-15,877.0,877.0,855.0999755859375,868.25,860.199462890625,18959,BASF,Basic Materials
2016-01-18,865.0,868.0,828.2999877929688,834.4500122070312,826.7129516601562,15373,BASF,Basic Materials
2016-01-19,830.0999755859375,849.4000244140625,830.0,842.4500122070312,834.6386108398438,13313,BASF,Basic Materials
2016-01-20,801.0,815.4000244140625,782.0,802.2000122070312,794.7618408203125,67740,BASF,Basic Materials
2016-01-21,800.2000122070312,809.9500122070312,770.0,777.4500122070312,770.2413940429688,20913,BASF,Basic Materials
2016-01-22,779.0,803.0,775.0,799.0999755859375,791.6905517578125,16088,BASF,Basic Materials
2016-01-25,802.5999755859375,813.7000122070312,788.1500244140625,793.7000122070312,786.3406982421875,14803,BASF,Basic Materials
2016-01-27,799.4000244140625,809.0,794.0,797.0,789.6101684570312,24389,BASF,Basic Materials
2016-01-28,797.0499877929688,815.0,780.0499877929688,788.2999877929688,780.99072265625,9205,BASF,Basic Materials
2016-01-29,792.0,800.0499877929688,787.9000244140625,794.1500244140625,786.7864990234375,4998,BASF,Basic Materials
2016-02-01,793.25,810.0,780.25,794.3499755859375,786.984619140625,6880,BASF,Basic Materials
2016-02-02,790.9500122070312,799.5,782.0999755859375,793.5999755859375,786.2415161132812,9203,BASF,Basic Materials
2016-02-03,789.0,789.0,736.25,745.5999755859375,738.6866455078125,31850,BASF,Basic Materials
2016-02-04,746.0,812.7000122070312,735.0,744.9000244140625,737.9931640625,40838,BASF,Basic Materials
2016-02-05,745.25,757.0,730.0999755859375,740.4500122070312,733.58447265625,20593,BASF,Basic Materials
2016-02-08,761.9000244140625,761.9000244140625,726.0,727.2000122070312,720.4572143554688,9681,BASF,Basic Materials
2016-02-09,727.0,765.1500244140625,723.5499877929688,758.3499755859375,751.3184204101562,40151,BASF,Basic Materials
2016-02-10,758.7999877929688,758.7999877929688,729.0,740.3499755859375,733.4853515625,17477,BASF,Basic Materials
2016-02-11,739.9000244140625,748.0,711.0,734.9000244140625,728.0859375,21971,BASF,Basic Materials
2016-02-12,735.0499877929688,749.9500122070312,697.5,715.0999755859375,708.469482421875,28588,BASF,Basic Materials
2016-02-15,765.0,765.0,700.5499877929688,744.8499755859375,737.9435424804688,5206,BASF,Basic Materials
2016-02-16,744.0,744.0,711.0,724.7000122070312,717.98046875,5209,BASF,Basic Materials
2016-02-17,716.9500122070312,779.5999755859375,701.0499877929688,751.75,744.7796630859375,58022,BASF,Basic Materials
2016-02-18,760.0,779.4000244140625,747.0499877929688,761.75,754.6868286132812,21138,BASF,Basic Materials
2016-02-19,761.8499755859375,795.0,750.0999755859375,791.9500122070312,784.60693359375,29956,BASF,Basic Materials
2016-02-22,791.9500122070312,795.0,770.0499877929688,774.0499877929688,766.8729248046875,7707,BASF,Basic Materials
2016-02-23,775.0499877929688,783.8499755859375,747.7999877929688,751.2000122070312,744.2347412109375,8501,BASF,Basic Materials
2016-02-24,751.0499877929688,776.8499755859375,738.0499877929688,766.1500244140625,759.046142578125,8083,BASF,Basic Materials
2016-02-25,765.9500122070312,783.4000244140625,755.0,777.3499755859375,770.1422119140625,5411,BASF,Basic Materials
2016-02-26,777.0,785.0,761.0,778.3499755859375,771.1329956054688,9038,BASF,Basic Materials
2016-02-29,780.0,795.0,751.0,786.0,778.7119750976562,10694,BASF,Basic Materials
2016-03-01,800.0,800.0,775.2000122070312,781.8499755859375,774.6005249023438,6453,BASF,Basic Materials
2016-03-02,787.4000244140625,800.0,783.0,797.9000244140625,790.5017700195312,10909,BASF,Basic Materials
2016-03-03,800.0,805.0,785.0,794.5499877929688,787.1827392578125,10175,BASF,Basic Materials
2016-03-04,791.0499877929688,795.0,780.5,791.0,783.6656494140625,6479,BASF,Basic Materials
2016-03-08,805.0,805.0,773.4000244140625,777.9500122070312,770.7367553710938,6192,BASF,Basic Materials
2016-03-09,777.0499877929688,798.0,772.5499877929688,781.4000244140625,774.15478515625,21116,BASF,Basic Materials
2016-03-10,781.0,785.0,769.0,771.5999755859375,764.445556640625,7119,BASF,Basic Materials
2016-03-11,785.0,785.0,772.1500244140625,774.6500244140625,767.4673461914062,7855,BASF,Basic Materials
2016-03-14,773.0,782.0499877929688,746.0,760.7000122070312,753.6466674804688,14809,BASF,Basic Materials
2016-03-15,778.0,780.0,763.5499877929688,769.5,762.3650512695312,7614,BASF,Basic Materials
2016-03-16,769.2000122070312,780.0,765.0,776.9000244140625,769.696533203125,6396,BASF,Basic Materials
2016-03-17,783.0,783.0,754.0,772.5,765.3372192382812,8764,BASF,Basic Materials
2016-03-18,772.0,795.0,759.0,786.1500244140625,778.8607177734375,10772,BASF,Basic Materials
2016-03-21,784.0,810.0,775.5999755859375,799.0499877929688,791.64111328125,18637,BASF,Basic Materials
2016-03-22,799.0,850.0,799.0,841.8499755859375,834.044189453125,31713,BASF,Basic Materials
2016-03-23,826.0,881.6500244140625,825.0,869.2000122070312,861.140625,38343,BASF,Basic Materials
2016-03-28,869.5,900.0,844.2000122070312,890.0,881.747802734375,31538,BASF,Basic Materials
2016-03-29,889.3499755859375,899.0,872.0,894.3499755859375,886.057373046875,22293,BASF,Basic Materials
2016-03-30,894.0,900.0,857.0999755859375,863.3499755859375,855.3447875976562,20241,BASF,Basic Materials
2016-03-31,864.0499877929688,885.0,853.0,877.5,869.3636474609375,21432,BASF,Basic Materials
2016-04-01,879.0,879.0,856.0,859.4500122070312,851.4810180664062,10613,BASF,Basic Materials
2016-04-04,868.4000244140625,869.8499755859375,827.5,841.5999755859375,833.7965087890625,16994,BASF,Basic Materials
2016-04-05,842.0499877929688,851.0,827.5,833.5,825.7716064453125,6863,BASF,Basic Materials
2016-04-06,833.2000122070312,843.0,826.5,831.5499877929688,823.8396606445312,9196,BASF,Basic Materials
2016-04-07,837.1500244140625,875.5,831.0499877929688,850.3499755859375,842.46533203125,20882,BASF,Basic Materials
2016-04-08,850.0,862.5499877929688,836.0,839.7000122070312,831.9141845703125,8964,BASF,Basic Materials
2016-04-11,855.0,857.0,835.5999755859375,851.9500122070312,844.0506591796875,8687,BASF,Basic Materials
2016-04-12,852.0999755859375,895.0,852.0999755859375,884.4000244140625,876.19970703125,27574,BASF,Basic Materials
2016-04-13,884.0,932.3499755859375,884.0,911.75,903.2960815429688,35752,BASF,Basic Materials
2016-04-18,911.0,918.7000122070312,900.0,903.2999877929688,894.9244384765625,7859,BASF,Basic Materials
2016-04-20,903.2999877929688,915.0,895.5,902.7999877929688,894.4290161132812,5622,BASF,Basic Materials
