Date,Open,High,Low,Close,Adj Close,Volume,Name,Sector
2017-02-03,1085.0,1200.0,1065.0999755859375,1069.199951171875,908.123291015625,15771762,BSE,Financial Services
2017-02-06,1081.0,1087.800048828125,1023.0999755859375,1029.199951171875,874.1494140625,2199600,BSE,Financial Services
2017-02-07,1030.0,1035.949951171875,1001.2999877929688,1006.7999877929688,855.1239013671875,1294146,BSE,Financial Services
2017-02-08,1013.0,1034.8499755859375,998.7000122070312,1022.5999755859375,868.5435791015625,1187116,BSE,Financial Services
2017-02-09,1025.0,1028.699951171875,1007.1500244140625,1010.0499877929688,857.8843994140625,466684,BSE,Financial Services
2017-02-10,1014.7999877929688,1024.0,1003.0,1005.0,853.5951538085938,420869,BSE,Financial Services
2017-02-13,1009.0,1010.4500122070312,998.5,1001.7999877929688,850.8772583007812,503861,BSE,Financial Services
2017-02-14,1004.9000244140625,1019.0,998.0,1004.0,852.745849609375,512893,BSE,Financial Services
2017-02-15,1002.0,1009.9000244140625,977.7000122070312,981.7000122070312,833.8053588867188,444465,BSE,Financial Services
2017-02-16,983.0,987.2000122070312,961.0,963.9000244140625,818.68701171875,390176,BSE,Financial Services
2017-02-17,971.0,978.0,964.0,967.2000122070312,821.48974609375,253565,BSE,Financial Services
2017-02-20,967.2000122070312,976.4000244140625,963.0999755859375,971.1500244140625,824.8447875976562,199609,BSE,Financial Services
2017-02-21,975.0,994.9000244140625,971.7000122070312,984.25,835.9711303710938,333947,BSE,Financial Services
2017-02-22,982.0,986.6500244140625,971.2999877929688,974.25,831.7027587890625,136074,BSE,Financial Services
2017-02-23,974.7999877929688,976.75,965.0,965.9000244140625,824.5745239257812,120075,BSE,Financial Services
2017-02-27,962.0,968.75,952.4000244140625,954.0999755859375,814.5009155273438,206918,BSE,Financial Services
2017-02-28,955.0499877929688,964.9000244140625,942.0,946.9500122070312,808.397216796875,211552,BSE,Financial Services
2017-03-01,945.0,954.0,932.0,934.0999755859375,797.4271240234375,242861,BSE,Financial Services
2017-03-02,938.5999755859375,942.5,915.0,917.2000122070312,783.0000610351562,299819,BSE,Financial Services
2017-03-03,915.0,916.9000244140625,886.5,890.7000122070312,760.3773193359375,838830,BSE,Financial Services
2017-03-06,890.0,954.75,890.0,947.2000122070312,808.610595703125,1240425,BSE,Financial Services
2017-03-07,954.0,964.7999877929688,936.0999755859375,938.7000122070312,801.354248046875,470176,BSE,Financial Services
2017-03-08,939.9000244140625,943.5,920.9500122070312,923.8499755859375,788.6769409179688,193077,BSE,Financial Services
2017-03-09,923.8499755859375,961.0,917.3499755859375,944.9500122070312,806.6897583007812,738561,BSE,Financial Services
2017-03-10,950.0,954.9000244140625,932.5999755859375,936.5999755859375,799.5615234375,193951,BSE,Financial Services
2017-03-14,955.0,960.0,940.0,944.9500122070312,806.6897583007812,227271,BSE,Financial Services
2017-03-15,946.3499755859375,961.6500244140625,940.0999755859375,945.3499755859375,807.0311889648438,290746,BSE,Financial Services
2017-03-16,949.9500122070312,952.2999877929688,943.0,945.25,806.9458618164062,127467,BSE,Financial Services
2017-03-17,946.2000122070312,958.5999755859375,941.4000244140625,943.9000244140625,805.7933349609375,314643,BSE,Financial Services
