Date,Open,High,Low,Close,Adj Close,Volume,Name,Sector
2018-03-05,725.0,728.9000244140625,696.0499877929688,710.3499755859375,700.787841796875,908,GMMPFAUDLR,Industrials
2018-03-06,711.0,720.0,700.0,712.8499755859375,703.2542114257812,1155,GMMPFAUDLR,Industrials
2018-03-07,675.0,695.0,575.0,676.7000122070312,667.5910034179688,4980,GMMPFAUDLR,Industrials
2018-03-08,675.0,734.0,661.0,709.7999877929688,700.2452392578125,1335,GMMPFAUDLR,Industrials
2018-03-09,688.5,708.0,670.1500244140625,702.2000122070312,692.7476196289062,2392,GMMPFAUDLR,Industrials
2018-03-12,695.0,704.0,680.0,702.9000244140625,693.4381713867188,4413,GMMPFAUDLR,Industrials
2018-03-13,710.0,710.0,685.2000122070312,703.5999755859375,694.128662109375,424,GMMPFAUDLR,Industrials
2018-03-14,710.0,744.0,690.0,722.9500122070312,713.2184448242188,3781,GMMPFAUDLR,Industrials
2018-03-15,709.0999755859375,740.0,705.0499877929688,728.0499877929688,718.2496337890625,1532,GMMPFAUDLR,Industrials
2018-03-16,730.0,731.0,697.5,700.0,690.5772705078125,1880,GMMPFAUDLR,Industrials
2018-03-19,710.0,720.0,687.5,687.5999755859375,678.3441162109375,1292,GMMPFAUDLR,Industrials
2018-03-20,687.5,728.9000244140625,670.5,686.6500244140625,677.4071044921875,4017,GMMPFAUDLR,Industrials
2018-03-21,700.0,706.9500122070312,683.0,689.7999877929688,680.5144653320312,1016,GMMPFAUDLR,Industrials
2018-03-22,689.0,695.0,676.2999877929688,676.5,667.3934326171875,1262,GMMPFAUDLR,Industrials
2018-03-23,660.0,695.0,656.0,658.6500244140625,649.7838134765625,7029,GMMPFAUDLR,Industrials
2018-03-26,678.4000244140625,700.0,660.0,684.9000244140625,675.680419921875,3667,GMMPFAUDLR,Industrials
2018-03-27,685.0,699.75,685.0,686.4500122070312,677.2096557617188,1414,GMMPFAUDLR,Industrials
2018-03-28,694.9000244140625,720.0,685.0,685.2000122070312,675.9765014648438,1171,GMMPFAUDLR,Industrials
2018-04-02,698.0,730.0,688.0,717.5499877929688,707.8909912109375,8173,GMMPFAUDLR,Industrials
2018-04-03,704.5999755859375,729.0,704.5999755859375,713.2999877929688,703.6981811523438,1071,GMMPFAUDLR,Industrials
2018-04-04,720.0,720.0,702.0499877929688,707.3499755859375,697.8282470703125,429,GMMPFAUDLR,Industrials
2018-04-05,715.0,729.9000244140625,700.0,716.3499755859375,706.7070922851562,1430,GMMPFAUDLR,Industrials
2018-04-06,719.0,729.0,716.0,727.75,717.9536743164062,1203,GMMPFAUDLR,Industrials
2018-04-09,734.0,755.0,715.0,721.5499877929688,711.837158203125,10977,GMMPFAUDLR,Industrials
2018-04-10,716.5,740.0,716.5,732.3499755859375,722.4917602539062,5365,GMMPFAUDLR,Industrials
2018-04-11,733.2999877929688,744.0,730.0,742.3499755859375,732.357177734375,1567,GMMPFAUDLR,Industrials
2018-04-12,742.3499755859375,742.3499755859375,715.0999755859375,725.0999755859375,715.3392944335938,3208,GMMPFAUDLR,Industrials
2018-04-13,718.0,732.0,718.0,729.2000122070312,719.3841552734375,1078,GMMPFAUDLR,Industrials
2018-04-16,729.0,735.0,715.0499877929688,718.7999877929688,709.1241455078125,8233,GMMPFAUDLR,Industrials
2018-04-17,716.0,749.9500122070312,712.9500122070312,746.5999755859375,736.5499877929688,2986,GMMPFAUDLR,Industrials
2018-04-18,751.9500122070312,753.0,738.0,745.1500244140625,735.1195678710938,3026,GMMPFAUDLR,Industrials
2018-04-19,745.0,755.0,710.0,729.9000244140625,720.0746459960938,8386,GMMPFAUDLR,Industrials
2018-04-20,754.0,754.0,726.0,735.0499877929688,725.1553344726562,595,GMMPFAUDLR,Industrials
2018-04-23,739.0,778.0,739.0,767.2999877929688,756.9713134765625,7277,GMMPFAUDLR,Industrials
2018-04-24,770.0,795.8499755859375,770.0,780.0,769.5003662109375,8898,GMMPFAUDLR,Industrials
2018-04-25,780.0,780.0,757.0,759.75,749.5230102539062,3919,GMMPFAUDLR,Industrials
2018-04-26,759.75,759.75,737.5,738.7999877929688,728.8549194335938,4150,GMMPFAUDLR,Industrials
2018-04-27,744.5999755859375,769.8499755859375,740.0,751.75,741.6306762695312,2571,GMMPFAUDLR,Industrials
2018-04-30,757.0,789.0,757.0,781.3499755859375,770.83203125,9655,GMMPFAUDLR,Industrials
2018-05-02,794.6500244140625,801.0,775.0,779.1500244140625,768.6618041992188,6664,GMMPFAUDLR,Industrials
2018-05-03,780.0,781.9000244140625,767.0499877929688,779.2999877929688,768.8095703125,1933,GMMPFAUDLR,Industrials
2018-05-04,770.0499877929688,815.0,770.0499877929688,796.9000244140625,786.1729736328125,5254,GMMPFAUDLR,Industrials
2018-05-07,782.0499877929688,810.0,782.0499877929688,806.8499755859375,795.9888916015625,4470,GMMPFAUDLR,Industrials
2018-05-08,804.0,859.0,803.0,835.7000122070312,824.4506225585938,18191,GMMPFAUDLR,Industrials
2018-05-09,830.0,844.9500122070312,820.0,821.9000244140625,810.8363647460938,3201,GMMPFAUDLR,Industrials
2018-05-10,808.25,834.0,808.25,820.0999755859375,809.0604248046875,5773,GMMPFAUDLR,Industrials
2018-05-11,822.0,831.1500244140625,787.2999877929688,830.0499877929688,818.8765258789062,2638,GMMPFAUDLR,Industrials
2018-05-14,825.0,835.0,815.0999755859375,820.2000122070312,809.1593627929688,3935,GMMPFAUDLR,Industrials
2018-05-15,830.0,846.0,825.0499877929688,832.9000244140625,821.6883544921875,2793,GMMPFAUDLR,Industrials
2018-05-16,830.0,848.9000244140625,830.0,844.5499877929688,833.1813354492188,5795,GMMPFAUDLR,Industrials
2018-05-17,860.0,889.0,836.7999877929688,878.0,866.18115234375,26397,GMMPFAUDLR,Industrials
2018-05-18,874.0,880.0,836.5,851.1500244140625,839.6926879882812,20050,GMMPFAUDLR,Industrials
2018-05-21,845.0,847.5,815.0,822.75,811.6747436523438,3218,GMMPFAUDLR,Industrials
2018-05-22,825.0,830.0,793.0499877929688,819.0999755859375,808.0740356445312,10203,GMMPFAUDLR,Industrials
2018-05-23,802.7000122070312,834.0,801.5,818.5,807.4822387695312,3615,GMMPFAUDLR,Industrials
2018-05-24,810.0499877929688,820.0,803.0499877929688,809.0,798.1100463867188,2235,GMMPFAUDLR,Industrials
2018-05-25,809.0,890.0,795.0499877929688,875.9500122070312,864.1586303710938,12970,GMMPFAUDLR,Industrials
2018-05-28,870.0,939.0,870.0,931.9000244140625,919.3556518554688,27882,GMMPFAUDLR,Industrials
2018-05-29,939.9500122070312,939.9500122070312,901.0,907.9000244140625,895.6787719726562,3451,GMMPFAUDLR,Industrials
2018-05-30,907.0,907.0,890.0,892.0,879.9927978515625,1772,GMMPFAUDLR,Industrials
2018-05-31,896.0,905.0499877929688,856.0,861.0499877929688,849.4593505859375,2302,GMMPFAUDLR,Industrials
2018-06-01,885.0,885.0,815.0,825.0499877929688,813.9439086914062,5184,GMMPFAUDLR,Industrials
2018-06-04,844.0,845.9500122070312,790.0,799.9500122070312,789.1818237304688,6131,GMMPFAUDLR,Industrials
2018-06-05,792.0999755859375,800.0,766.0,769.6500244140625,759.2896118164062,4213,GMMPFAUDLR,Industrials
2018-06-06,770.0,820.0,753.0,817.0999755859375,806.100830078125,4817,GMMPFAUDLR,Industrials
2018-06-07,818.9000244140625,840.0,815.0,819.75,808.71533203125,3103,GMMPFAUDLR,Industrials
2018-06-08,820.7999877929688,827.9500122070312,808.5499877929688,810.7999877929688,799.8856811523438,2267,GMMPFAUDLR,Industrials
2018-06-11,812.2999877929688,859.5,811.0,841.25,829.92578125,5309,GMMPFAUDLR,Industrials
2018-06-12,844.1500244140625,846.25,836.9000244140625,843.2999877929688,831.9482421875,924,GMMPFAUDLR,Industrials
2018-06-13,845.2000122070312,849.4000244140625,844.0,845.0,833.6253662109375,583,GMMPFAUDLR,Industrials
2018-06-14,845.9000244140625,868.0,843.9500122070312,851.75,840.2845458984375,4505,GMMPFAUDLR,Industrials
2018-06-15,854.9000244140625,890.2000122070312,854.9000244140625,880.0,868.154296875,5262,GMMPFAUDLR,Industrials
2018-06-18,883.3499755859375,883.3499755859375,855.0,858.9500122070312,847.387451171875,1503,GMMPFAUDLR,Industrials
2018-06-19,859.75,859.75,828.0,832.0499877929688,820.849609375,985,GMMPFAUDLR,Industrials
2018-06-20,833.75,855.0,825.0,841.5999755859375,830.2711181640625,2381,GMMPFAUDLR,Industrials
2018-06-21,840.7000122070312,840.7000122070312,817.5499877929688,836.5499877929688,825.2891235351562,1115,GMMPFAUDLR,Industrials
2018-06-22,834.9000244140625,840.0,825.0,839.2999877929688,828.0020751953125,579,GMMPFAUDLR,Industrials
2018-06-25,837.2000122070312,852.5499877929688,826.0,834.25,823.0200805664062,685,GMMPFAUDLR,Industrials
2018-06-26,833.6500244140625,841.9500122070312,819.0499877929688,829.75,818.5806274414062,4042,GMMPFAUDLR,Industrials
2018-06-27,827.5,847.0,788.0,805.7000122070312,794.8544311523438,4186,GMMPFAUDLR,Industrials
2018-06-28,811.2999877929688,812.0,770.0499877929688,780.6500244140625,770.1416015625,4780,GMMPFAUDLR,Industrials
2018-06-29,783.5,803.0,783.5,797.4500122070312,786.7155151367188,2812,GMMPFAUDLR,Industrials
2018-07-02,797.5,800.0,775.0,785.3499755859375,774.7782592773438,2581,GMMPFAUDLR,Industrials
2018-07-03,788.0,803.0,785.0,793.9000244140625,783.21337890625,931,GMMPFAUDLR,Industrials
2018-07-04,795.0,805.0,794.0,800.5499877929688,789.7737426757812,1316,GMMPFAUDLR,Industrials
2018-07-05,805.0,819.0,795.0,800.4000244140625,789.6256103515625,1289,GMMPFAUDLR,Industrials
2018-07-06,805.5999755859375,813.0,798.0499877929688,803.0499877929688,792.2401733398438,949,GMMPFAUDLR,Industrials
2018-07-09,800.0,840.0,800.0,834.0499877929688,822.82275390625,3341,GMMPFAUDLR,Industrials
2018-07-10,817.4000244140625,840.0,811.2000122070312,828.7000122070312,817.5447387695312,5674,GMMPFAUDLR,Industrials
2018-07-11,839.2999877929688,839.2999877929688,820.0,828.0,816.8541259765625,2608,GMMPFAUDLR,Industrials
