Date,Open,High,Low,Close,Adj Close,Volume,Name,Sector
2016-01-01,220.4499969482422,227.6999969482422,220.4499969482422,221.72000122070312,211.26210021972656,151460,ICIL,Consumer Cyclical
2016-01-04,221.0,221.0,210.4499969482422,214.25,204.1444091796875,116730,ICIL,Consumer Cyclical
2016-01-05,214.39999389648438,226.39999389648438,212.0,213.5399932861328,203.4678955078125,95860,ICIL,Consumer Cyclical
2016-01-06,212.10000610351562,222.0,212.0,219.33999633789062,208.99432373046875,292940,ICIL,Consumer Cyclical
2016-01-07,209.0,217.9199981689453,209.0,213.7100067138672,203.6298828125,436905,ICIL,Consumer Cyclical
2016-01-08,217.8000030517578,221.60000610351562,213.3800048828125,218.52000427246094,208.21302795410156,219620,ICIL,Consumer Cyclical
2016-01-11,217.97000122070312,220.0,214.0,217.38999938964844,207.1363067626953,80300,ICIL,Consumer Cyclical
2016-01-12,219.88999938964844,225.0,216.0800018310547,222.75999450683594,212.25302124023438,202980,ICIL,Consumer Cyclical
2016-01-13,223.0,231.0,212.8000030517578,222.27000427246094,211.7861328125,1120180,ICIL,Consumer Cyclical
2016-01-14,215.02000427246094,222.0,214.00999450683594,220.1199951171875,209.737548828125,407210,ICIL,Consumer Cyclical
2016-01-15,220.0,224.11000061035156,218.39999389648438,219.94000244140625,209.56605529785156,347310,ICIL,Consumer Cyclical
2016-01-18,215.0,217.97999572753906,205.0,210.3800048828125,200.4569549560547,1143360,ICIL,Consumer Cyclical
2016-01-19,211.0,215.0,205.22000122070312,213.92999267578125,203.83950805664062,512970,ICIL,Consumer Cyclical
2016-01-20,212.8000030517578,217.97999572753906,199.50999450683594,202.05999755859375,192.5293731689453,446385,ICIL,Consumer Cyclical
2016-01-21,199.39999389648438,205.47999572753906,199.39999389648438,203.9199981689453,194.30165100097656,402810,ICIL,Consumer Cyclical
2016-01-22,206.0,212.0,204.7100067138672,211.19000244140625,201.22874450683594,93370,ICIL,Consumer Cyclical
2016-01-25,213.60000610351562,215.0,206.0,207.6300048828125,197.836669921875,466015,ICIL,Consumer Cyclical
2016-01-27,212.0,212.0,204.0,207.5399932861328,197.7509002685547,79500,ICIL,Consumer Cyclical
2016-01-28,210.99000549316406,213.5,206.44000244140625,211.67999267578125,201.6956329345703,91450,ICIL,Consumer Cyclical
2016-01-29,213.94000244140625,220.0,207.49000549316406,219.0800018310547,208.74659729003906,219065,ICIL,Consumer Cyclical
2016-02-01,225.0,226.0,219.1999969482422,225.1300048828125,214.51124572753906,131080,ICIL,Consumer Cyclical
2016-02-02,227.55999755859375,239.8000030517578,224.0,238.72000122070312,227.46023559570312,453035,ICIL,Consumer Cyclical
2016-02-03,234.6999969482422,241.8000030517578,230.25,236.27000427246094,225.1258087158203,351585,ICIL,Consumer Cyclical
2016-02-04,239.33999633789062,240.1999969482422,237.0,238.86000061035156,227.59364318847656,132950,ICIL,Consumer Cyclical
2016-02-05,239.39999389648438,245.67999267578125,238.0,243.4600067138672,231.97666931152344,317750,ICIL,Consumer Cyclical
2016-02-08,247.8000030517578,250.8000030517578,212.97999572753906,219.5500030517578,209.19444274902344,759670,ICIL,Consumer Cyclical
2016-02-09,220.39999389648438,231.0,210.47999572753906,228.3800048828125,217.60794067382812,452300,ICIL,Consumer Cyclical
2016-02-10,226.99000549316406,227.9600067138672,212.25,221.9600067138672,211.4907684326172,468160,ICIL,Consumer Cyclical
2016-02-11,221.8800048828125,224.0,191.75999450683594,200.9499969482422,191.47174072265625,313870,ICIL,Consumer Cyclical
2016-02-12,206.97999572753906,207.00999450683594,174.10000610351562,192.47000122070312,183.39173889160156,658190,ICIL,Consumer Cyclical
2016-02-15,194.1999969482422,201.92999267578125,194.1999969482422,196.3800048828125,187.1173095703125,140310,ICIL,Consumer Cyclical
2016-02-16,199.58999633789062,201.5800018310547,183.63999938964844,186.1300048828125,177.35079956054688,216560,ICIL,Consumer Cyclical
2016-02-17,186.1300048828125,190.60000610351562,177.0,186.75999450683594,177.95103454589844,212285,ICIL,Consumer Cyclical
2016-02-18,189.3800048828125,190.63999938964844,185.0,187.00999450683594,178.1892547607422,146780,ICIL,Consumer Cyclical
2016-02-19,184.8000030517578,188.39999389648438,176.1999969482422,177.3699951171875,169.00393676757812,185915,ICIL,Consumer Cyclical
2016-02-22,180.8000030517578,181.8699951171875,176.5800018310547,179.0500030517578,170.60470581054688,72355,ICIL,Consumer Cyclical
2016-02-23,178.58999633789062,179.75,169.39999389648438,170.50999450683594,162.46751403808594,117835,ICIL,Consumer Cyclical
2016-02-24,172.10000610351562,172.10000610351562,156.02000427246094,166.69000244140625,158.8276824951172,413720,ICIL,Consumer Cyclical
2016-02-25,168.9499969482422,171.97999572753906,164.07000732421875,169.75999450683594,161.75289916992188,157480,ICIL,Consumer Cyclical
2016-02-26,171.99000549316406,173.99000549316406,155.39999389648438,165.8699951171875,158.04635620117188,924165,ICIL,Consumer Cyclical
2016-02-29,166.0,174.9199981689453,157.25999450683594,166.99000549316406,159.11355590820312,591465,ICIL,Consumer Cyclical
2016-03-01,168.05999755859375,182.8000030517578,168.0,180.17999267578125,171.681396484375,957420,ICIL,Consumer Cyclical
2016-03-02,181.8000030517578,189.0,181.69000244140625,184.30999755859375,175.6166229248047,289685,ICIL,Consumer Cyclical
2016-03-03,184.52000427246094,189.0,178.77999877929688,188.5500030517578,179.65663146972656,339710,ICIL,Consumer Cyclical
2016-03-04,187.9600067138672,189.0,182.3699951171875,187.6699981689453,178.81813049316406,357895,ICIL,Consumer Cyclical
2016-03-08,187.58999633789062,191.1999969482422,180.5,183.69000244140625,175.02584838867188,314545,ICIL,Consumer Cyclical
2016-03-09,183.60000610351562,185.7899932861328,180.50999450683594,184.7100067138672,175.9977569580078,136800,ICIL,Consumer Cyclical
2016-03-10,181.6999969482422,184.38999938964844,181.58999633789062,182.38999938964844,173.7871551513672,88385,ICIL,Consumer Cyclical
2016-03-11,179.42999267578125,183.8699951171875,179.42999267578125,182.91000366210938,174.28265380859375,147015,ICIL,Consumer Cyclical
2016-03-14,183.60000610351562,196.33999633789062,183.58999633789062,195.16000366210938,185.95486450195312,644380,ICIL,Consumer Cyclical
2016-03-15,196.8000030517578,197.4199981689453,189.00999450683594,190.58999633789062,181.6003875732422,334310,ICIL,Consumer Cyclical
2016-03-16,190.0,192.0,185.60000610351562,190.1199951171875,181.15255737304688,128705,ICIL,Consumer Cyclical
2016-03-17,194.8000030517578,194.8000030517578,186.61000061035156,187.9199981689453,179.0563507080078,156510,ICIL,Consumer Cyclical
2016-03-18,189.89999389648438,193.5,185.85000610351562,187.91000366210938,179.0468292236328,634495,ICIL,Consumer Cyclical
2016-03-21,185.0,188.07000732421875,180.42999267578125,185.80999755859375,177.04586791992188,733820,ICIL,Consumer Cyclical
2016-03-22,187.89999389648438,188.67999267578125,184.00999450683594,186.8000030517578,177.98915100097656,333725,ICIL,Consumer Cyclical
2016-03-23,185.0,187.17999267578125,182.1199951171875,184.0399932861328,175.35934448242188,252295,ICIL,Consumer Cyclical
2016-03-28,185.8000030517578,186.0,179.7100067138672,182.0800018310547,173.49179077148438,237865,ICIL,Consumer Cyclical
2016-03-29,183.0500030517578,183.1999969482422,180.0,181.80999755859375,173.23452758789062,1109220,ICIL,Consumer Cyclical
2016-03-30,184.00999450683594,193.8000030517578,182.6699981689453,192.22000122070312,183.1535186767578,312730,ICIL,Consumer Cyclical
2016-03-31,193.39999389648438,195.8000030517578,189.9600067138672,194.3000030517578,185.13540649414062,396205,ICIL,Consumer Cyclical
2016-04-01,195.0,199.39999389648438,192.60000610351562,197.2899932861328,187.984375,199440,ICIL,Consumer Cyclical
2016-04-04,199.74000549316406,209.89999389648438,198.4199981689453,204.8699951171875,195.20684814453125,521845,ICIL,Consumer Cyclical
2016-04-05,205.60000610351562,205.60000610351562,195.44000244140625,197.86000061035156,188.52748107910156,172775,ICIL,Consumer Cyclical
2016-04-06,196.1999969482422,204.1999969482422,193.39999389648438,202.25,192.71043395996094,178645,ICIL,Consumer Cyclical
2016-04-07,194.1999969482422,203.97999572753906,194.1999969482422,196.58999633789062,187.31739807128906,93885,ICIL,Consumer Cyclical
2016-04-08,194.8000030517578,198.55999755859375,193.44000244140625,196.02000427246094,186.77427673339844,196020,ICIL,Consumer Cyclical
2016-04-11,196.2100067138672,204.0,196.1999969482422,201.64999389648438,192.1387176513672,198220,ICIL,Consumer Cyclical
2016-04-12,200.02999877929688,202.99000549316406,199.1699981689453,199.91000366210938,190.4807891845703,120345,ICIL,Consumer Cyclical
2016-04-13,204.38999938964844,205.69000244140625,199.8000030517578,200.7899932861328,191.31927490234375,213035,ICIL,Consumer Cyclical
2016-04-18,202.1999969482422,213.58999633789062,200.80999755859375,211.6999969482422,201.71470642089844,896180,ICIL,Consumer Cyclical
2016-04-20,212.99000549316406,214.39999389648438,210.0,213.64999389648438,203.57272338867188,220515,ICIL,Consumer Cyclical
2016-04-21,212.4199981689453,215.3800048828125,204.38999938964844,208.3300018310547,198.50364685058594,182220,ICIL,Consumer Cyclical
2016-04-22,207.58999633789062,211.0,206.4199981689453,207.67999267578125,197.88429260253906,70685,ICIL,Consumer Cyclical
2016-04-25,207.39999389648438,207.5,205.07000732421875,206.7100067138672,196.96006774902344,122255,ICIL,Consumer Cyclical
2016-04-26,206.97000122070312,211.5,203.6999969482422,210.0500030517578,200.14251708984375,203035,ICIL,Consumer Cyclical
2016-04-27,210.39999389648438,213.00999450683594,207.6199951171875,209.72999572753906,199.8376007080078,87025,ICIL,Consumer Cyclical
2016-04-28,209.2100067138672,211.1999969482422,206.47000122070312,210.0500030517578,200.14251708984375,201750,ICIL,Consumer Cyclical
2016-04-29,210.27999877929688,213.72000122070312,209.0,209.8000030517578,199.90432739257812,94585,ICIL,Consumer Cyclical
2016-05-02,207.4199981689453,216.60000610351562,207.4199981689453,213.66000366210938,203.58224487304688,314265,ICIL,Consumer Cyclical
2016-05-03,213.9199981689453,216.5800018310547,210.10000610351562,212.91000366210938,202.8676300048828,112265,ICIL,Consumer Cyclical
2016-05-04,213.14999389648438,215.22999572753906,187.67999267578125,189.69000244140625,180.74285888671875,1408835,ICIL,Consumer Cyclical
2016-05-05,189.60000610351562,197.60000610351562,188.02000427246094,196.32000732421875,187.06015014648438,574730,ICIL,Consumer Cyclical
2016-05-06,196.07000732421875,201.32000732421875,193.4199981689453,196.55999755859375,187.288818359375,404490,ICIL,Consumer Cyclical
2016-05-09,202.32000732421875,207.0,188.3300018310547,193.08999633789062,183.98245239257812,888715,ICIL,Consumer Cyclical
2016-05-10,193.1999969482422,197.1999969482422,190.2100067138672,193.41000366210938,184.28738403320312,325125,ICIL,Consumer Cyclical
