Date,Open,High,Low,Close,Adj Close,Volume,Name,Sector
2017-03-23,4800.0498046875,5000.0498046875,4211.5498046875,4601.64990234375,4596.9541015625,764,TASTYBITE,Consumer Defensive
2017-03-24,4673.5498046875,4690.0,4587.0,4642.14990234375,4637.41259765625,228,TASTYBITE,Consumer Defensive
2017-03-27,4675.0,4700.0,4560.0,4574.60009765625,4569.931640625,324,TASTYBITE,Consumer Defensive
2017-03-28,5350.0,5350.0,4425.0,4491.7998046875,4487.21630859375,2361,TASTYBITE,Consumer Defensive
2017-03-29,4561.89990234375,4561.89990234375,4480.0,4489.35009765625,4484.76904296875,386,TASTYBITE,Consumer Defensive
2017-03-30,4497.39990234375,4600.0,4425.0,4444.5498046875,4440.01416015625,1030,TASTYBITE,Consumer Defensive
2017-03-31,4450.0,4803.0,4439.9501953125,4699.7998046875,4695.00341796875,2171,TASTYBITE,Consumer Defensive
2017-04-03,4700.0498046875,4850.9501953125,4700.0,4769.75,4764.8828125,1158,TASTYBITE,Consumer Defensive
2017-04-05,4860.0,4890.0,4700.0,4707.0498046875,4702.24609375,768,TASTYBITE,Consumer Defensive
2017-04-06,4738.0498046875,4850.89990234375,4664.0498046875,4729.75,4724.9228515625,372,TASTYBITE,Consumer Defensive
2017-04-07,4690.75,4746.9501953125,4675.0,4698.85009765625,4694.05517578125,516,TASTYBITE,Consumer Defensive
2017-04-10,4675.0,4724.0498046875,4650.0,4653.2998046875,4648.55126953125,777,TASTYBITE,Consumer Defensive
2017-04-11,4600.0,4900.0,4600.0,4749.35009765625,4744.50341796875,586,TASTYBITE,Consumer Defensive
2017-04-12,4970.0,4979.0,4660.39990234375,4769.7998046875,4764.9326171875,421,TASTYBITE,Consumer Defensive
2017-04-13,4815.0,4815.0,4675.0,4713.25,4708.43994140625,200,TASTYBITE,Consumer Defensive
2017-04-17,4849.75,4860.0,4724.5,4773.89990234375,4769.02880859375,1309,TASTYBITE,Consumer Defensive
2017-04-18,4826.75,4826.85009765625,4690.0498046875,4699.9501953125,4695.15380859375,182,TASTYBITE,Consumer Defensive
2017-04-19,4779.7998046875,4781.0,4635.0,4738.60009765625,4733.7646484375,165,TASTYBITE,Consumer Defensive
2017-04-20,4822.9501953125,5199.0,4699.85009765625,5090.39990234375,5085.20556640625,8024,TASTYBITE,Consumer Defensive
2017-04-21,5319.10009765625,5349.0,5060.39990234375,5136.75,5131.5078125,1029,TASTYBITE,Consumer Defensive
2017-04-24,5295.75,5610.0,5260.0,5340.4501953125,5335.00048828125,2444,TASTYBITE,Consumer Defensive
2017-04-25,5231.10009765625,5346.89990234375,5201.0,5256.2998046875,5250.935546875,687,TASTYBITE,Consumer Defensive
2017-04-26,5214.10009765625,5267.0498046875,5070.0,5104.0498046875,5098.84130859375,403,TASTYBITE,Consumer Defensive
2017-04-27,5070.0,5265.0,5040.0,5201.2001953125,5195.892578125,240,TASTYBITE,Consumer Defensive
2017-04-28,5095.35009765625,5298.0,5080.0,5111.75,5106.53369140625,997,TASTYBITE,Consumer Defensive
2017-05-02,5010.0,5440.0,4951.0,5297.4501953125,5292.04443359375,7823,TASTYBITE,Consumer Defensive
2017-05-03,5225.0498046875,5450.0,5180.0,5406.0498046875,5400.533203125,6581,TASTYBITE,Consumer Defensive
2017-05-04,5400.10009765625,5534.75,5400.10009765625,5409.35009765625,5403.830078125,3587,TASTYBITE,Consumer Defensive
2017-05-05,5489.9501953125,5489.9501953125,5153.0,5207.39990234375,5202.08544921875,2459,TASTYBITE,Consumer Defensive
2017-05-08,5378.7998046875,5378.7998046875,5100.0,5227.60009765625,5222.26513671875,717,TASTYBITE,Consumer Defensive
2017-05-09,5210.0,5284.89990234375,5055.0,5087.14990234375,5081.95849609375,3445,TASTYBITE,Consumer Defensive
2017-05-10,5274.9501953125,5275.0,5010.0498046875,5209.9501953125,5204.63330078125,483,TASTYBITE,Consumer Defensive
2017-05-11,5259.9501953125,5405.0,5189.7998046875,5292.75,5287.3486328125,1438,TASTYBITE,Consumer Defensive
2017-05-12,5332.0498046875,5450.0,5240.0,5389.7998046875,5384.29931640625,3558,TASTYBITE,Consumer Defensive
2017-05-15,5389.7998046875,5740.0,5250.0,5666.10009765625,5660.318359375,10727,TASTYBITE,Consumer Defensive
2017-05-16,5640.0498046875,5812.75,5506.0,5616.89990234375,5611.16796875,15949,TASTYBITE,Consumer Defensive
2017-05-17,5619.0,5750.0,5535.0498046875,5643.14990234375,5637.39111328125,5155,TASTYBITE,Consumer Defensive
2017-05-18,5475.14990234375,5610.0,5153.0,5229.60009765625,5224.263671875,3561,TASTYBITE,Consumer Defensive
2017-05-19,5299.9501953125,5348.9501953125,5130.0,5178.39990234375,5173.11572265625,2699,TASTYBITE,Consumer Defensive
2017-05-22,5287.14990234375,5494.39990234375,4900.0,5056.7001953125,5051.5400390625,2491,TASTYBITE,Consumer Defensive
2017-05-23,5053.14990234375,5061.0498046875,4832.0498046875,4890.2001953125,4885.21044921875,2952,TASTYBITE,Consumer Defensive
2017-05-24,4835.0,5033.64990234375,4755.0,4789.5,4784.6123046875,2538,TASTYBITE,Consumer Defensive
2017-05-25,4827.89990234375,5110.0,4802.5,5012.35009765625,5007.23486328125,4168,TASTYBITE,Consumer Defensive
2017-05-26,5120.0,5260.0,4915.0,5179.35009765625,5174.064453125,1992,TASTYBITE,Consumer Defensive
2017-05-29,5250.0,5374.39990234375,5050.0,5099.64990234375,5094.4462890625,2023,TASTYBITE,Consumer Defensive
2017-05-30,5014.0,5089.0,4970.0,5055.89990234375,5050.74072265625,1779,TASTYBITE,Consumer Defensive
2017-05-31,5050.2001953125,5250.0,5020.0,5187.39990234375,5182.1064453125,2091,TASTYBITE,Consumer Defensive
2017-06-01,5147.0498046875,5240.0,5130.0,5187.0,5181.70703125,1396,TASTYBITE,Consumer Defensive
2017-06-02,5200.0,5219.0,5112.0,5151.9501953125,5146.69287109375,1872,TASTYBITE,Consumer Defensive
2017-06-05,5240.0,5325.0,5175.0,5221.5498046875,5216.22119140625,1637,TASTYBITE,Consumer Defensive
2017-06-06,5320.0,5320.0,5200.0,5214.0,5208.67919921875,1225,TASTYBITE,Consumer Defensive
2017-06-07,5200.0,5250.0,5185.0,5208.75,5203.4345703125,1517,TASTYBITE,Consumer Defensive
2017-06-08,5190.0498046875,5219.9501953125,5105.0,5140.64990234375,5135.404296875,1875,TASTYBITE,Consumer Defensive
2017-06-09,5101.0,5150.0498046875,4950.0,5020.5,5015.376953125,2002,TASTYBITE,Consumer Defensive
2017-06-12,5020.0,5079.9501953125,4912.2998046875,4951.7998046875,4946.7470703125,1777,TASTYBITE,Consumer Defensive
2017-06-13,4952.35009765625,5199.0,4952.35009765625,5108.35009765625,5103.13720703125,2020,TASTYBITE,Consumer Defensive
2017-06-14,5068.85009765625,5137.0,4933.75,4963.64990234375,4958.58447265625,2628,TASTYBITE,Consumer Defensive
2017-06-15,4999.7001953125,5047.9501953125,4999.0,5018.7001953125,5013.57861328125,1259,TASTYBITE,Consumer Defensive
2017-06-16,5001.5,5047.0,5000.0,5038.4501953125,5033.30859375,520,TASTYBITE,Consumer Defensive
2017-06-19,5060.0,5064.9501953125,5000.0,5005.25,5000.14208984375,363,TASTYBITE,Consumer Defensive
2017-06-20,5049.9501953125,5079.0,5005.0,5009.5498046875,5004.43798828125,175,TASTYBITE,Consumer Defensive
2017-06-21,4954.0,5050.0,4899.0,4999.35009765625,4994.248046875,858,TASTYBITE,Consumer Defensive
2017-06-22,4997.0,5000.0,4849.9501953125,4859.39990234375,4854.44140625,789,TASTYBITE,Consumer Defensive
2017-06-23,4935.9501953125,4949.0,4790.0,4804.5498046875,4799.64697265625,281,TASTYBITE,Consumer Defensive
2017-06-27,4812.0,4868.0,4747.0,4758.35009765625,4753.494140625,223,TASTYBITE,Consumer Defensive
2017-06-28,4704.0498046875,4799.9501953125,4690.0,4709.39990234375,4704.59375,741,TASTYBITE,Consumer Defensive
2017-06-29,4749.0,4840.0,4660.0,4682.0,4677.22216796875,529,TASTYBITE,Consumer Defensive
2017-06-30,4660.0,4758.0,4660.0,4749.60009765625,4744.75341796875,107,TASTYBITE,Consumer Defensive
2017-07-03,4868.0,4889.0498046875,4756.14990234375,4808.39990234375,4803.4931640625,445,TASTYBITE,Consumer Defensive
2017-07-04,4806.0,4849.9501953125,4761.39990234375,4845.9501953125,4841.0048828125,191,TASTYBITE,Consumer Defensive
2017-07-05,4880.0,5090.0,4856.0498046875,4995.85009765625,4990.751953125,952,TASTYBITE,Consumer Defensive
2017-07-06,5035.2998046875,5060.0,4911.39990234375,4983.5498046875,4978.46435546875,174,TASTYBITE,Consumer Defensive
2017-07-07,4988.9501953125,4990.0498046875,4911.39990234375,4963.7001953125,4958.634765625,286,TASTYBITE,Consumer Defensive
2017-07-10,4950.0,5050.0,4810.0,4886.4501953125,4881.4638671875,196,TASTYBITE,Consumer Defensive
2017-07-11,4840.0,4999.0,4840.0,4867.7998046875,4862.8330078125,152,TASTYBITE,Consumer Defensive
2017-07-12,4948.39990234375,4950.0,4870.0,4942.9501953125,4937.90576171875,409,TASTYBITE,Consumer Defensive
2017-07-13,4950.0498046875,4970.0,4825.64990234375,4912.25,4907.2373046875,749,TASTYBITE,Consumer Defensive
2017-07-14,4908.75,5029.0,4892.4501953125,5005.5498046875,5000.44189453125,1023,TASTYBITE,Consumer Defensive
2017-07-17,5000.0,5378.7998046875,5000.0,5302.4501953125,5297.0390625,8051,TASTYBITE,Consumer Defensive
2017-07-18,5303.25,5310.0,5201.0,5288.10009765625,5282.7041015625,3392,TASTYBITE,Consumer Defensive
2017-07-19,5202.5498046875,5446.0,5202.5498046875,5400.14990234375,5394.63916015625,9180,TASTYBITE,Consumer Defensive
2017-07-20,5401.0,5470.0,5400.0,5448.0,5442.4404296875,2383,TASTYBITE,Consumer Defensive
2017-07-21,5448.0,5574.0,5420.10009765625,5562.39990234375,5556.7236328125,3584,TASTYBITE,Consumer Defensive
2017-07-24,5590.0,5724.0,5565.0,5636.0,5630.2490234375,7817,TASTYBITE,Consumer Defensive
2017-07-25,5700.0,5700.0,5360.0,5420.7998046875,5415.26806640625,3976,TASTYBITE,Consumer Defensive
2017-07-26,5450.0,5974.0,5450.0,5780.64990234375,5774.7509765625,10614,TASTYBITE,Consumer Defensive
2017-07-27,5900.0,5920.0,5610.0,5658.0498046875,5652.27587890625,4937,TASTYBITE,Consumer Defensive
2017-07-28,5659.9501953125,5779.9501953125,5580.0,5654.60009765625,5648.82958984375,3607,TASTYBITE,Consumer Defensive
2017-07-31,5750.0,5808.89990234375,5735.75,5774.85009765625,5768.95703125,932,TASTYBITE,Consumer Defensive
2017-08-01,5800.0,5800.0,5630.0,5669.7998046875,5664.01416015625,766,TASTYBITE,Consumer Defensive
2017-08-02,5649.89990234375,5649.89990234375,5415.0,5456.2998046875,5450.73193359375,871,TASTYBITE,Consumer Defensive
2017-08-03,5401.0,5579.0,5401.0,5444.64990234375,5439.09375,308,TASTYBITE,Consumer Defensive
2017-08-04,5456.0,5500.0,5400.10009765625,5467.2998046875,5461.720703125,887,TASTYBITE,Consumer Defensive
2017-08-07,5488.0,5600.0,5406.64990234375,5501.7998046875,5496.18603515625,702,TASTYBITE,Consumer Defensive
2017-08-08,5550.0,5615.0,5465.0,5539.39990234375,5533.7470703125,902,TASTYBITE,Consumer Defensive
2017-08-09,5500.0,5500.0,5401.0,5422.39990234375,5416.86669921875,830,TASTYBITE,Consumer Defensive
2017-08-10,5405.5,5870.0,4950.64990234375,5045.75,5040.6005859375,24843,TASTYBITE,Consumer Defensive
2017-08-11,4784.0,5299.0,4749.9501953125,5175.5498046875,5170.2685546875,4891,TASTYBITE,Consumer Defensive
2017-08-14,5249.0,5780.0,5249.0,5592.14990234375,5586.44287109375,11606,TASTYBITE,Consumer Defensive
2017-08-16,6000.0,6100.0,5710.0,5750.75,5744.880859375,21281,TASTYBITE,Consumer Defensive
2017-08-17,5756.0498046875,5898.0,5555.0,5733.2001953125,5727.35009765625,5466,TASTYBITE,Consumer Defensive
2017-08-18,5631.0,5666.2001953125,5550.0,5616.14990234375,5610.41845703125,6338,TASTYBITE,Consumer Defensive
2017-08-21,5600.0,5694.9501953125,5385.0,5472.5,5466.9150390625,6810,TASTYBITE,Consumer Defensive
2017-08-22,5472.0498046875,5635.0,5472.0,5560.75,5555.0751953125,5373,TASTYBITE,Consumer Defensive
2017-08-23,5530.2001953125,5680.0,5523.25,5651.7001953125,5647.96435546875,2390,TASTYBITE,Consumer Defensive
2017-08-24,5590.0498046875,5649.7998046875,5550.0,5554.85009765625,5551.17822265625,2097,TASTYBITE,Consumer Defensive
2017-08-28,5549.9501953125,5598.0,5470.85009765625,5557.2998046875,5553.62646484375,1410,TASTYBITE,Consumer Defensive
2017-08-29,5480.0,5630.0,5480.0,5527.75,5524.09619140625,2876,TASTYBITE,Consumer Defensive
2017-08-30,5550.0498046875,5624.89990234375,5501.0,5503.2998046875,5499.662109375,2108,TASTYBITE,Consumer Defensive
2017-08-31,5549.9501953125,5598.5498046875,5461.5,5553.10009765625,5549.42919921875,1340,TASTYBITE,Consumer Defensive
2017-09-01,5526.5498046875,5596.75,5500.0,5503.39990234375,5499.76220703125,1735,TASTYBITE,Consumer Defensive
2017-09-04,5482.2001953125,5519.60009765625,5432.0498046875,5466.10009765625,5462.48681640625,895,TASTYBITE,Consumer Defensive
2017-09-05,5598.85009765625,5598.85009765625,5430.10009765625,5471.9501953125,5468.3330078125,798,TASTYBITE,Consumer Defensive
2017-09-06,5413.0498046875,5525.0,5374.9501953125,5452.2001953125,5448.59619140625,2494,TASTYBITE,Consumer Defensive
2017-09-07,5500.0498046875,5564.89990234375,5450.0,5496.89990234375,5493.26611328125,2001,TASTYBITE,Consumer Defensive
2017-09-08,5452.25,5495.89990234375,5452.25,5466.2998046875,5462.6865234375,833,TASTYBITE,Consumer Defensive
2017-09-11,5479.9501953125,5534.4501953125,5455.0,5458.2998046875,5454.69189453125,647,TASTYBITE,Consumer Defensive
2017-09-12,5474.0498046875,5533.89990234375,5461.0,5495.5498046875,5491.9169921875,332,TASTYBITE,Consumer Defensive
2017-09-13,5500.0,5540.0,5460.0,5502.39990234375,5498.76220703125,1441,TASTYBITE,Consumer Defensive
