Date,Open,High,Low,Close,Adj Close,Volume,Name,Sector
2016-01-01,289.3999938964844,298.25,289.3500061035156,296.6000061035156,296.31439208984375,1131233,TATAMTRDVR,Consumer Cyclical
2016-01-04,294.79998779296875,294.79998779296875,275.25,278.1000061035156,277.83221435546875,2359770,TATAMTRDVR,Consumer Cyclical
2016-01-05,281.3999938964844,283.0,276.3999938964844,278.95001220703125,278.681396484375,2346499,TATAMTRDVR,Consumer Cyclical
2016-01-06,280.0,280.45001220703125,272.45001220703125,273.45001220703125,273.18670654296875,1646527,TATAMTRDVR,Consumer Cyclical
2016-01-07,267.8999938964844,267.8999938964844,254.5,257.0,256.7525329589844,2837932,TATAMTRDVR,Consumer Cyclical
2016-01-08,260.0,267.54998779296875,259.0,264.70001220703125,264.44512939453125,2081245,TATAMTRDVR,Consumer Cyclical
2016-01-11,259.75,274.3999938964844,258.3999938964844,271.79998779296875,271.53826904296875,1944294,TATAMTRDVR,Consumer Cyclical
2016-01-12,273.0,275.0,266.3500061035156,270.25,269.9897766113281,1170573,TATAMTRDVR,Consumer Cyclical
2016-01-13,272.6000061035156,278.8999938964844,266.75,273.70001220703125,273.43646240234375,1965963,TATAMTRDVR,Consumer Cyclical
2016-01-14,265.0,270.25,261.6000061035156,267.75,267.4921875,1685205,TATAMTRDVR,Consumer Cyclical
2016-01-15,268.8500061035156,268.8500061035156,256.75,257.8999938964844,257.65167236328125,963039,TATAMTRDVR,Consumer Cyclical
2016-01-18,257.5,260.95001220703125,252.0500030517578,257.0,256.7525329589844,1343187,TATAMTRDVR,Consumer Cyclical
2016-01-19,260.3999938964844,268.8999938964844,258.5,263.95001220703125,263.69586181640625,1386001,TATAMTRDVR,Consumer Cyclical
2016-01-20,260.5,261.8999938964844,251.60000610351562,258.6000061035156,258.3509826660156,2119862,TATAMTRDVR,Consumer Cyclical
2016-01-21,258.0,261.0,246.89999389648438,248.25,248.01095581054688,3015745,TATAMTRDVR,Consumer Cyclical
2016-01-22,252.9499969482422,262.29998779296875,251.0,257.45001220703125,257.2021179199219,1182214,TATAMTRDVR,Consumer Cyclical
2016-01-25,260.79998779296875,263.5,255.9499969482422,257.6000061035156,257.3519592285156,1088619,TATAMTRDVR,Consumer Cyclical
2016-01-27,257.79998779296875,266.3500061035156,257.79998779296875,265.45001220703125,265.19439697265625,1531779,TATAMTRDVR,Consumer Cyclical
2016-01-28,266.29998779296875,276.29998779296875,264.1000061035156,267.5,267.242431640625,3184953,TATAMTRDVR,Consumer Cyclical
2016-01-29,266.79998779296875,267.95001220703125,260.1000061035156,265.45001220703125,265.19439697265625,1917242,TATAMTRDVR,Consumer Cyclical
2016-02-01,265.54998779296875,266.95001220703125,261.25,263.20001220703125,262.9465637207031,1109835,TATAMTRDVR,Consumer Cyclical
2016-02-02,264.5,264.95001220703125,251.6999969482422,253.35000610351562,253.10604858398438,3769028,TATAMTRDVR,Consumer Cyclical
2016-02-03,252.60000610351562,252.60000610351562,240.5,243.0,242.76600646972656,2740603,TATAMTRDVR,Consumer Cyclical
2016-02-04,244.5,246.3000030517578,239.5,242.9499969482422,242.716064453125,2205619,TATAMTRDVR,Consumer Cyclical
2016-02-05,243.89999389648438,251.8000030517578,243.89999389648438,248.75,248.51048278808594,1793182,TATAMTRDVR,Consumer Cyclical
2016-02-08,248.0,248.9499969482422,240.10000610351562,241.14999389648438,240.91778564453125,827940,TATAMTRDVR,Consumer Cyclical
2016-02-09,237.8000030517578,242.14999389648438,229.10000610351562,230.60000610351562,230.37796020507812,3495905,TATAMTRDVR,Consumer Cyclical
2016-02-10,229.6999969482422,229.6999969482422,215.5,223.9499969482422,223.73435974121094,3800378,TATAMTRDVR,Consumer Cyclical
2016-02-11,224.0,227.8000030517578,210.10000610351562,214.8000030517578,214.59317016601562,1565637,TATAMTRDVR,Consumer Cyclical
2016-02-12,214.6999969482422,230.5,212.5500030517578,226.14999389648438,225.93223571777344,3129794,TATAMTRDVR,Consumer Cyclical
2016-02-15,230.8000030517578,239.5,227.0,237.85000610351562,237.6209716796875,1869821,TATAMTRDVR,Consumer Cyclical
2016-02-16,241.0,243.14999389648438,227.3000030517578,229.25,229.0292510986328,1941721,TATAMTRDVR,Consumer Cyclical
2016-02-17,230.0,240.0,226.25,239.14999389648438,238.91970825195312,1625782,TATAMTRDVR,Consumer Cyclical
2016-02-18,241.8000030517578,242.75,232.60000610351562,239.1999969482422,238.96966552734375,1651723,TATAMTRDVR,Consumer Cyclical
