SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
ACC,1836.45,1856.6,1782.0,1787.65,12-MAR-2021
AUBANK,1274.4,1316.95,1202.8,1255.45,12-MAR-2021
AARTIIND,1266.8,1292.85,1239.7,1283.5,12-MAR-2021
ABBOTINDIA,14770.05,14850.05,14503.3,14616.25,12-MAR-2021
ADANIENT,918.1,928.4,888.7,894.1,12-MAR-2021
ADANIGREEN,1178.0,1200.0,1135.0,1160.6,12-MAR-2021
ADANIPORTS,762.7,767.8,723.0,728.15,12-MAR-2021
ATGL,717.9,749.45,680.85,738.0,12-MAR-2021
ADANITRANS,816.0,827.4,730.55,773.7,12-MAR-2021
ABCAPITAL,126.0,139.7,124.5,131.3,12-MAR-2021
ABFRL,218.0,223.7,214.55,218.65,12-MAR-2021
AJANTPHARM,1765.25,1848.0,1735.0,1833.2,12-MAR-2021
APLLTD,917.0,948.0,906.25,939.9,12-MAR-2021
ALKEM,2794.2,2808.5,2730.0,2773.5,12-MAR-2021
AMARAJABAT,902.0,909.0,879.95,893.25,12-MAR-2021
AMBUJACEM,287.0,293.9,284.2,289.5,12-MAR-2021
APOLLOHOSP,2901.0,3031.0,2826.7,2976.35,12-MAR-2021
APOLLOTYRE,244.95,246.25,229.05,239.25,12-MAR-2021
ASHOKLEY,127.9,127.95,120.75,122.05,12-MAR-2021
ASIANPAINT,2383.0,2464.65,2360.05,2401.35,12-MAR-2021
AUROPHARMA,863.35,876.5,843.5,848.25,12-MAR-2021
DMART,3309.0,3309.0,3113.0,3129.35,12-MAR-2021
AXISBANK,735.0,776.6,732.0,750.6,12-MAR-2021
BAJAJ-AUTO,3848.0,3879.0,3734.8,3746.4,12-MAR-2021
BAJFINANCE,5469.0,5670.0,5311.0,5557.85,12-MAR-2021
BAJAJFINSV,9970.0,10216.1,9805.3,9934.1,12-MAR-2021
BAJAJHLDNG,3591.35,3647.8,3560.1,3618.5,12-MAR-2021
BALKRISIND,1613.4,1642.2,1574.1,1628.2,12-MAR-2021
BANDHANBNK,351.0,360.0,345.5,349.2,12-MAR-2021
BANKBARODA,82.0,83.5,76.6,77.35,12-MAR-2021
