SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
3MINDIA,20939.0,22000.0,20695.4,21707.35,19-FEB-2021
ABB,1475.0,1635.0,1465.0,1521.6,19-FEB-2021
POWERINDIA,1320.0,1531.0,1303.95,1438.3,19-FEB-2021
ACC,1785.0,1843.55,1735.5,1747.35,19-FEB-2021
AIAENG,1977.5,2000.0,1860.0,1868.15,19-FEB-2021
APLAPOLLO,952.5,998.9,952.5,968.95,19-FEB-2021
AUBANK,1110.0,1154.4,1060.9,1109.0,19-FEB-2021
AARTIDRUGS,659.0,686.0,638.65,642.6,19-FEB-2021
AARTIIND,1220.05,1259.4,1176.8,1187.9,19-FEB-2021
AAVAS,2339.95,2356.25,2161.0,2275.75,19-FEB-2021
ABBOTINDIA,14469.1,14950.0,14400.0,14716.3,19-FEB-2021
ADANIENT,725.0,831.0,707.65,781.9,19-FEB-2021
ADANIGREEN,1068.0,1129.4,1037.0,1117.7,19-FEB-2021
ADANIPORTS,617.95,676.65,610.8,653.5,19-FEB-2021
ATGL,387.0,542.8,386.1,497.65,19-FEB-2021
ADANITRANS,629.1,820.0,629.1,770.15,19-FEB-2021
ABCAPITAL,89.95,107.6,89.6,98.65,19-FEB-2021
ABFRL,166.9,169.95,161.0,166.0,19-FEB-2021
ADVENZYMES,379.3,417.0,357.55,394.55,19-FEB-2021
AEGISCHEM,297.4,304.0,280.0,284.25,19-FEB-2021
AFFLE,5614.5,5614.5,5070.0,5279.85,19-FEB-2021
AJANTPHARM,1810.4,1819.0,1726.1,1738.4,19-FEB-2021
AKZOINDIA,2200.0,2245.95,2136.0,2146.55,19-FEB-2021
ALEMBICLTD,102.15,105.75,99.6,102.6,19-FEB-2021
APLLTD,972.25,985.95,894.8,902.4,19-FEB-2021
ALKEM,2869.25,2918.1,2786.95,2875.5,19-FEB-2021
ALKYLAMINE,5384.0,5384.0,5075.95,5111.45,19-FEB-2021
ALOKINDS,20.9,21.15,20.0,20.05,19-FEB-2021
AMARAJABAT,957.0,957.0,868.0,877.55,19-FEB-2021
AMBER,3225.0,3290.0,3100.0,3158.45,19-FEB-2021
AMBUJACEM,281.0,290.5,273.05,275.3,19-FEB-2021
APOLLOHOSP,2777.0,3284.0,2760.45,2919.95,19-FEB-2021
APOLLOTYRE,241.95,244.4,232.6,238.55,19-FEB-2021
ASHOKLEY,130.2,132.85,121.5,123.4,19-FEB-2021
ASHOKA,110.95,118.6,106.0,110.9,19-FEB-2021
ASIANPAINT,2495.0,2517.5,2382.0,2416.45,19-FEB-2021
ASTERDM,150.1,153.95,148.05,150.45,19-FEB-2021
ASTRAZEN,3689.0,4050.0,3611.0,3625.4,19-FEB-2021
ASTRAL,2025.0,2087.45,2009.0,2031.05,19-FEB-2021
ATUL,6880.0,6950.0,6520.1,6578.2,19-FEB-2021
AUROPHARMA,935.0,944.9,883.0,888.55,19-FEB-2021
AVANTIFEED,499.15,507.0,480.0,489.65,19-FEB-2021
DMART,2955.0,3242.0,2933.0,3101.65,19-FEB-2021
AXISBANK,759.9,799.0,741.35,749.65,19-FEB-2021
BASF,1977.0,2150.0,1952.3,2027.95,19-FEB-2021
BEML,971.65,1032.1,936.1,976.85,19-FEB-2021
BSE,598.0,624.5,571.6,588.0,19-FEB-2021
BAJAJ-AUTO,4152.2,4205.0,3977.2,4001.1,19-FEB-2021
BAJAJCON,246.3,259.7,233.5,252.35,19-FEB-2021
BAJAJELEC,1078.0,1085.0,975.0,998.35,19-FEB-2021
BAJFINANCE,5605.35,5822.2,5425.0,5497.95,19-FEB-2021
BAJAJFINSV,10330.2,10579.0,10112.2,10250.45,19-FEB-2021
BAJAJHLDNG,3544.0,3645.9,3510.05,3611.0,19-FEB-2021
BALKRISIND,1660.0,1669.65,1535.75,1550.25,19-FEB-2021
BALMLAWRIE,114.85,121.5,113.0,116.45,19-FEB-2021
BALRAMCHIN,159.85,179.0,157.0,169.7,19-FEB-2021
BANDHANBNK,341.55,353.8,335.0,337.25,19-FEB-2021
BANKBARODA,79.1,99.85,78.6,91.2,19-FEB-2021
BANKINDIA,59.2,101.4,58.55,84.3,19-FEB-2021
MAHABANK,15.7,27.6,15.7,23.35,19-FEB-2021
BATAINDIA,1535.0,1564.0,1487.55,1499.0,19-FEB-2021
BAYERCROP,5217.95,5299.0,5105.0,5206.6,19-FEB-2021
BERGEPAINT,765.0,774.9,738.3,741.25,19-FEB-2021
BDL,356.1,362.5,337.25,339.5,19-FEB-2021
BEL,137.35,143.9,132.1,135.4,19-FEB-2021
BHARATFORG,635.55,653.4,595.05,603.0,19-FEB-2021
BHEL,39.05,44.05,38.4,40.4,19-FEB-2021
BPCL,422.8,444.8,401.55,430.0,19-FEB-2021
BHARATRAS,9980.0,10020.0,9390.0,9783.25,19-FEB-2021
BHARTIARTL,592.1,603.0,575.5,581.35,19-FEB-2021
BIOCON,408.95,424.75,401.6,404.0,19-FEB-2021
BIRLACORPN,834.8,932.0,825.0,868.7,19-FEB-2021
BSOFT,247.0,248.55,236.05,238.25,19-FEB-2021
BLISSGVS,181.5,184.5,175.5,178.3,19-FEB-2021
BLUEDART,4620.0,4949.0,4600.0,4698.05,19-FEB-2021
BLUESTARCO,813.0,868.8,798.05,814.5,19-FEB-2021
BBTC,1235.0,1235.05,1180.0,1192.25,19-FEB-2021
BOMDYEING,72.95,79.85,70.35,76.05,19-FEB-2021
BOSCHLTD,15774.0,16029.6,15330.0,15581.45,19-FEB-2021
BRIGADE,289.7,295.0,273.75,281.5,19-FEB-2021
BRITANNIA,3429.0,3445.0,3320.0,3331.2,19-FEB-2021
CARERATING,485.0,498.0,480.0,488.35,19-FEB-2021
CCL,248.6,248.6,231.0,231.65,19-FEB-2021
CESC,624.75,628.2,604.0,611.4,19-FEB-2021
CRISIL,1994.0,2049.0,1911.25,1957.4,19-FEB-2021
CSBBANK,222.0,234.5,218.0,224.8,19-FEB-2021
CADILAHC,466.9,474.45,447.05,452.4,19-FEB-2021
CANFINHOME,521.3,534.4,501.1,515.5,19-FEB-2021
CANBK,158.85,174.6,157.5,160.0,19-FEB-2021
CAPLIPOINT,473.5,501.2,462.5,486.95,19-FEB-2021
CGCL,365.1,398.15,325.15,342.85,19-FEB-2021
CARBORUNIV,515.1,571.95,485.9,547.5,19-FEB-2021
CASTROLIND,129.0,133.2,125.15,128.8,19-FEB-2021
CEATLTD,1655.15,1674.85,1565.0,1586.8,19-FEB-2021
CENTRALBK,14.05,26.4,13.85,21.6,19-FEB-2021
CDSL,553.0,592.9,545.0,571.1,19-FEB-2021
CENTURYPLY,302.35,320.0,297.9,317.2,19-FEB-2021
CENTURYTEX,462.9,504.75,455.1,485.35,19-FEB-2021
CERA,3717.0,4027.0,3717.0,3845.65,19-FEB-2021
CHALET,180.7,180.7,171.5,172.95,19-FEB-2021
CHAMBLFERT,243.1,245.1,229.0,234.85,19-FEB-2021
CHENNPETRO,95.6,102.6,94.05,96.65,19-FEB-2021
CHOLAHLDNG,551.8,607.0,545.15,589.6,19-FEB-2021
CHOLAFIN,472.05,538.0,472.05,530.35,19-FEB-2021
CIPLA,850.1,856.6,799.0,807.35,19-FEB-2021
CUB,164.5,172.45,163.4,164.45,19-FEB-2021
COALINDIA,134.5,143.2,132.0,139.25,19-FEB-2021
COCHINSHIP,355.5,373.7,354.1,363.05,19-FEB-2021
COFORGE,2629.0,2666.1,2540.0,2570.25,19-FEB-2021
COLPAL,1603.65,1621.65,1547.0,1554.8,19-FEB-2021
CONCOR,543.0,587.5,528.6,568.95,19-FEB-2021
COROMANDEL,763.8,789.0,756.25,768.4,19-FEB-2021
CREDITACC,720.0,728.7,675.0,687.9,19-FEB-2021
CROMPTON,399.85,407.95,392.0,396.65,19-FEB-2021
CUMMINSIND,759.7,805.0,746.65,769.7,19-FEB-2021
CYIENT,630.5,636.0,590.0,595.35,19-FEB-2021
DBCORP,86.65,95.0,85.0,91.8,19-FEB-2021
DCBBANK,110.05,120.9,110.05,115.0,19-FEB-2021
DCMSHRIRAM,475.9,485.95,455.0,463.05,19-FEB-2021
DLF,314.5,328.2,293.05,300.6,19-FEB-2021
DABUR,537.5,540.85,507.85,513.45,19-FEB-2021
DALBHARAT,1488.9,1510.0,1368.05,1476.3,19-FEB-2021
