SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
3MINDIA,20874.0,21634.2,20410.05,20473.7,22-JAN-2021
ABB,1291.0,1419.0,1286.7,1377.85,22-JAN-2021
POWERINDIA,1270.0,1310.0,1234.9,1244.7,22-JAN-2021
ACC,1738.0,1746.35,1653.25,1694.85,22-JAN-2021
AIAENG,2110.0,2234.0,2047.05,2077.6,22-JAN-2021
APLAPOLLO,954.0,974.0,910.1,938.25,22-JAN-2021
AUBANK,921.0,930.25,880.0,896.6,22-JAN-2021
AARTIDRUGS,709.5,711.8,684.1,686.1,22-JAN-2021
AARTIIND,1257.0,1258.95,1132.5,1143.25,22-JAN-2021
AAVAS,1899.8,1981.0,1844.05,1857.3,22-JAN-2021
ABBOTINDIA,15074.0,15074.0,14325.0,14399.9,22-JAN-2021
ADANIENT,528.0,552.95,502.05,526.8,22-JAN-2021
ADANIGREEN,945.0,1065.45,920.1,1047.85,22-JAN-2021
ADANIPORTS,531.0,562.5,503.8,535.8,22-JAN-2021
ATGL,362.0,365.6,341.0,363.6,22-JAN-2021
ADANITRANS,433.4,486.0,397.15,477.2,22-JAN-2021
ABCAPITAL,93.6,93.65,85.55,86.5,22-JAN-2021
ABFRL,176.0,194.8,169.25,171.55,22-JAN-2021
ADVENZYMES,317.0,328.0,306.6,308.9,22-JAN-2021
AEGISCHEM,275.0,286.0,268.4,284.1,22-JAN-2021
AFFLE,3636.3,3869.0,3527.05,3777.95,22-JAN-2021
AJANTPHARM,1748.0,1816.8,1700.0,1721.15,22-JAN-2021
AKZOINDIA,2323.0,2530.0,2262.0,2480.6,22-JAN-2021
ALEMBICLTD,103.4,103.9,97.15,97.75,22-JAN-2021
APLLTD,1090.0,1096.95,930.5,939.95,22-JAN-2021
ALKEM,3080.0,3129.25,2986.0,3034.9,22-JAN-2021
ALKYLAMINE,4780.4,5179.45,4661.0,4800.95,22-JAN-2021
ALOKINDS,24.2,24.5,21.3,21.45,22-JAN-2021
AMARAJABAT,1000.0,1009.2,964.05,979.15,22-JAN-2021
AMBER,2613.0,2638.95,2471.2,2492.15,22-JAN-2021
AMBUJACEM,264.1,265.35,248.0,257.7,22-JAN-2021
APOLLOHOSP,2599.5,2685.0,2547.05,2597.9,22-JAN-2021
APOLLOTYRE,183.9,237.5,174.5,231.9,22-JAN-2021
ASHOKLEY,119.0,127.25,112.65,122.25,22-JAN-2021
ASHOKA,94.0,96.5,90.5,92.5,22-JAN-2021
ASIANPAINT,2592.0,2816.95,2555.4,2596.65,22-JAN-2021
ASTERDM,162.0,165.6,158.0,160.65,22-JAN-2021
ASTRAZEN,4205.0,4205.0,3710.0,3724.7,22-JAN-2021
ASTRAL,1670.0,1727.05,1608.0,1661.0,22-JAN-2021
ATUL,6589.0,6639.65,6430.0,6509.75,22-JAN-2021
AUROPHARMA,933.8,948.0,880.15,923.8,22-JAN-2021
AVANTIFEED,515.95,517.4,502.2,506.15,22-JAN-2021
DMART,2800.0,2899.0,2701.0,2862.75,22-JAN-2021
AXISBANK,674.45,695.0,638.8,644.5,22-JAN-2021
BASF,1627.0,1694.25,1568.85,1628.9,22-JAN-2021
BEML,959.0,980.2,921.2,928.5,22-JAN-2021
BSE,621.6,626.0,597.0,601.05,22-JAN-2021
BAJAJ-AUTO,3552.0,4130.0,3505.0,4089.5,22-JAN-2021
BAJAJCON,216.7,230.0,215.2,220.1,22-JAN-2021
BAJAJELEC,742.1,797.0,700.0,760.45,22-JAN-2021
BAJFINANCE,4870.0,5225.0,4686.0,4972.55,22-JAN-2021
BAJAJFINSV,8636.1,9388.85,8273.7,9071.0,22-JAN-2021
BAJAJHLDNG,3207.9,3299.6,3120.05,3283.45,22-JAN-2021
BALKRISIND,1651.0,1767.7,1585.25,1678.5,22-JAN-2021
BALMLAWRIE,122.2,124.0,117.95,118.2,22-JAN-2021
BALRAMCHIN,179.35,185.3,172.4,178.55,22-JAN-2021
BANDHANBNK,367.6,372.55,311.85,314.1,22-JAN-2021
BANKBARODA,75.45,80.8,72.05,73.35,22-JAN-2021
BANKINDIA,53.95,54.9,50.7,51.0,22-JAN-2021
MAHABANK,14.85,16.45,14.25,14.45,22-JAN-2021
BATAINDIA,1601.0,1650.0,1548.5,1567.85,22-JAN-2021
BAYERCROP,5605.55,5800.0,5467.1,5634.0,22-JAN-2021
BERGEPAINT,772.4,822.95,764.15,773.4,22-JAN-2021
BDL,345.3,346.45,331.0,335.2,22-JAN-2021
BEL,133.85,138.95,128.3,132.35,22-JAN-2021
BHARATFORG,612.55,644.5,579.25,629.4,22-JAN-2021
BHEL,39.4,41.25,37.1,37.65,22-JAN-2021
BPCL,414.0,423.0,394.95,396.05,22-JAN-2021
BHARATRAS,10400.0,10434.1,10000.05,10049.1,22-JAN-2021
BHARTIARTL,602.65,604.05,572.75,576.85,22-JAN-2021
BIOCON,456.0,459.35,376.3,393.75,22-JAN-2021
BIRLACORPN,722.15,733.0,701.1,721.2,22-JAN-2021
BSOFT,257.55,264.0,236.0,248.8,22-JAN-2021
BLISSGVS,201.75,209.4,192.0,195.45,22-JAN-2021
BLUEDART,3900.0,4372.9,3832.25,4218.75,22-JAN-2021
BLUESTARCO,782.45,794.7,748.0,757.6,22-JAN-2021
BBTC,1282.05,1298.7,1240.0,1242.8,22-JAN-2021
BOMDYEING,77.8,81.75,74.8,76.55,22-JAN-2021
BOSCHLTD,14760.0,16550.0,14413.0,15670.65,22-JAN-2021
BRIGADE,264.45,269.6,241.65,244.3,22-JAN-2021
BRITANNIA,3609.05,3690.0,3575.0,3608.0,22-JAN-2021
CARERATING,510.0,518.95,486.2,493.5,22-JAN-2021
CCL,251.1,252.0,245.0,249.9,22-JAN-2021
CESC,699.0,731.0,660.0,662.3,22-JAN-2021
CRISIL,1920.0,1970.0,1890.0,1920.6,22-JAN-2021
CSBBANK,225.9,243.7,220.55,222.65,22-JAN-2021
CADILAHC,485.0,489.8,455.3,460.5,22-JAN-2021
CANFINHOME,498.5,529.9,482.1,491.05,22-JAN-2021
CANBK,138.7,145.0,131.0,133.2,22-JAN-2021
CAPLIPOINT,487.55,507.6,477.05,479.05,22-JAN-2021
CGCL,344.75,375.0,340.05,351.45,22-JAN-2021
CARBORUNIV,419.35,422.0,401.25,417.4,22-JAN-2021
CASTROLIND,129.7,129.95,124.65,128.05,22-JAN-2021
CEATLTD,1256.0,1535.0,1189.05,1495.9,22-JAN-2021
CENTRALBK,13.85,14.65,13.6,13.8,22-JAN-2021
CDSL,515.0,526.6,500.0,505.4,22-JAN-2021
CENTURYPLY,245.0,258.5,233.95,255.9,22-JAN-2021
CENTURYTEX,409.0,422.0,400.25,408.15,22-JAN-2021
CERA,3406.0,3535.9,3300.0,3503.05,22-JAN-2021
CHALET,177.25,178.4,167.0,167.85,22-JAN-2021
CHAMBLFERT,229.05,248.0,220.5,241.55,22-JAN-2021
CHENNPETRO,124.0,129.3,116.0,121.05,22-JAN-2021
CHOLAHLDNG,555.55,564.5,532.15,555.55,22-JAN-2021
CHOLAFIN,426.65,464.85,402.55,422.15,22-JAN-2021
CIPLA,822.0,839.3,796.2,808.3,22-JAN-2021
CUB,173.8,177.45,171.0,174.25,22-JAN-2021
COALINDIA,143.3,143.9,132.5,133.2,22-JAN-2021
