month,advances,declines,ratio
26-Feb-2021,580,1368,0.42
25-Feb-2021,1258,677,1.86
24-Feb-2021,1200,632,1.9
23-Feb-2021,1156,755,1.53
22-Feb-2021,569,1395,0.41
19-Feb-2021,646,1286,0.5
18-Feb-2021,1064,862,1.23
17-Feb-2021,914,1010,0.9
16-Feb-2021,822,1115,0.74
15-Feb-2021,862,1116,0.77
12-Feb-2021,854,1059,0.81
11-Feb-2021,1106,833,1.33
10-Feb-2021,879,1048,0.84
09-Feb-2021,800,1150,0.7
08-Feb-2021,1106,793,1.39
05-Feb-2021,764,1155,0.66
04-Feb-2021,1212,705,1.72
03-Feb-2021,1189,728,1.63
02-Feb-2021,1235,715,1.73
01-Feb-2021,1348,607,2.22
29-Jan-2021,868,1044,0.83
28-Jan-2021,938,975,0.96
27-Jan-2021,614,1313,0.47
25-Jan-2021,501,1457,0.34
22-Jan-2021,477,1472,0.32
21-Jan-2021,601,1369,0.44
20-Jan-2021,997,937,1.06
19-Jan-2021,1431,517,2.77
18-Jan-2021,420,1579,0.27
15-Jan-2021,518,1432,0.36
14-Jan-2021,912,1022,0.89
13-Jan-2021,667,1309,0.51
12-Jan-2021,1037,917,1.13
11-Jan-2021,778,1210,0.64
08-Jan-2021,1074,887,1.21
07-Jan-2021,1210,737,1.64
06-Jan-2021,859,1121,0.77
05-Jan-2021,1116,867,1.29
04-Jan-2021,1375,604,2.28
01-Jan-2021,1317,591,2.23
31-Dec-2020,1113,797,1.4
30-Dec-2020,1020,889,1.15
29-Dec-2020,944,1008,0.94
28-Dec-2020,1381,576,2.4
24-Dec-2020,1116,825,1.35
23-Dec-2020,1631,322,5.07
22-Dec-2020,1031,900,1.15
21-Dec-2020,259,1729,0.15
18-Dec-2020,751,1196,0.63
17-Dec-2020,870,1094,0.8
16-Dec-2020,1216,747,1.63
15-Dec-2020,946,1012,0.93
14-Dec-2020,1253,697,1.8
11-Dec-2020,1125,817,1.38
10-Dec-2020,732,1214,0.6
09-Dec-2020,1152,809,1.42
08-Dec-2020,941,1017,0.93
07-Dec-2020,1412,532,2.65
04-Dec-2020,1088,846,1.29
03-Dec-2020,1393,568,2.45
02-Dec-2020,1096,796,1.38
01-Dec-2020,1294,651,1.99
27-Nov-2020,1212,686,1.77
26-Nov-2020,1255,622,2.02
25-Nov-2020,651,1253,0.52
24-Nov-2020,1097,806,1.36
23-Nov-2020,1125,793,1.42
20-Nov-2020,1099,770,1.43
19-Nov-2020,829,1057,0.78
18-Nov-2020,1078,812,1.33
17-Nov-2020,1058,853,1.24
14-Nov-2020,1427,357,4.0
13-Nov-2020,1134,730,1.55
12-Nov-2020,1118,762,1.47
11-Nov-2020,989,866,1.14
10-Nov-2020,827,1053,0.79
09-Nov-2020,1121,767,1.46
06-Nov-2020,1132,719,1.57
05-Nov-2020,1340,531,2.52
04-Nov-2020,966,872,1.11
03-Nov-2020,988,864,1.14
02-Nov-2020,699,1153,0.61
30-Oct-2020,938,908,1.03
29-Oct-2020,642,1247,0.51
28-Oct-2020,599,1251,0.48
27-Oct-2020,865,982,0.88
26-Oct-2020,621,1298,0.48
23-Oct-2020,1234,661,1.87
22-Oct-2020,984,869,1.13
21-Oct-2020,936,927,1.01
20-Oct-2020,976,883,1.11
19-Oct-2020,1077,798,1.35
16-Oct-2020,1139,730,1.56
15-Oct-2020,483,1433,0.34
14-Oct-2020,809,1062,0.76
13-Oct-2020,807,1077,0.75
12-Oct-2020,652,1249,0.52
09-Oct-2020,865,1014,0.85
08-Oct-2020,828,1061,0.78
07-Oct-2020,723,1182,0.61
06-Oct-2020,1106,783,1.41
05-Oct-2020,1041,862,1.21
01-Oct-2020,1120,740,1.51
30-Sep-2020,856,1002,0.85
29-Sep-2020,817,1048,0.78
28-Sep-2020,1447,459,3.15
25-Sep-2020,1525,350,4.36
24-Sep-2020,303,1574,0.19
23-Sep-2020,830,1048,0.79
22-Sep-2020,413,1476,0.28
21-Sep-2020,294,1639,0.18
18-Sep-2020,798,1050,0.76
17-Sep-2020,675,1190,0.57
16-Sep-2020,966,864,1.12
15-Sep-2020,1111,770,1.44
14-Sep-2020,1320,561,2.35
11-Sep-2020,982,869,1.13
10-Sep-2020,1291,566,2.28
09-Sep-2020,509,1373,0.37
08-Sep-2020,579,1288,0.45
07-Sep-2020,760,1126,0.67
04-Sep-2020,553,1342,0.41
03-Sep-2020,1024,847,1.21
02-Sep-2020,1232,649,1.9
01-Sep-2020,780,1081,0.72
31-Aug-2020,283,1661,0.17
28-Aug-2020,750,1147,0.65
27-Aug-2020,951,934,1.02
26-Aug-2020,1102,782,1.41
25-Aug-2020,851,1058,0.8
24-Aug-2020,10680,860,12.42
21-Aug-2020,1214,679,1.79
20-Aug-2020,1050,840,1.25
19-Aug-2020,1214,665,1.83
18-Aug-2020,1325,550,2.41
17-Aug-2020,1139,743,1.53
14-Aug-2020,701,1202,0.58
13-Aug-2020,1087,789,1.38
12-Aug-2020,1007,896,1.12
11-Aug-2020,1060,831,1.28
10-Aug-2020,1242,658,1.89
07-Aug-2020,1196,663,1.8
06-Aug-2020,1132,744,1.52
