SYMBOL,DATE,NAME,HH,HL,LH,LL,HHL,LHL,CLOSE
,2021-03-10,AARTIIND,1,1,0,0,1,0,1276.25
,2021-03-10,ABBOTINDIA,0,0,3,1,0,1,14668.15
,2021-03-10,ABCAPITAL,0,3,1,0,0,0,134.35
,2021-03-10,ABFRL,0,1,1,0,0,0,217.85
,2021-03-10,ACC,0,1,1,0,0,0,1835.05
,2021-03-10,ADANIENT,0,0,1,2,0,1,898.15
,2021-03-10,ADANIGREEN,1,1,0,0,1,0,1185.65
,2021-03-10,ADANIPORTS,0,1,2,0,0,0,745.35
,2021-03-10,ADANITRANS,0,0,4,2,0,2,733.05
,2021-03-10,AJANTPHARM,4,3,0,0,3,0,1807.15
,2021-03-10,ALKEM,0,0,1,5,0,1,2739.75
,2021-03-10,AMARAJABAT,0,1,4,0,0,0,896.1
,2021-03-10,AMBUJACEM,2,4,0,0,2,0,292.0
,2021-03-10,APLLTD,0,0,1,1,0,1,934.45
,2021-03-10,APOLLOHOSP,0,1,6,0,0,0,2904.1
,2021-03-10,APOLLOTYRE,1,1,0,0,1,0,237.5
,2021-03-10,ASHOKLEY,0,1,1,0,0,0,123.9
,2021-03-10,ASIANPAINT,2,2,0,0,2,0,2431.95
,2021-03-10,AUBANK,0,0,1,2,0,1,1253.25
,2021-03-10,AUROPHARMA,0,1,2,0,0,0,857.3
,2021-03-10,AXISBANK,3,3,0,0,3,0,760.75
,2021-03-10,BAJAJ-AUTO,1,2,0,0,1,0,3867.55
,2021-03-10,BAJAJFINSV,0,2,1,0,0,0,9991.45
,2021-03-10,BAJAJHLDNG,2,0,0,1,0,0,3596.45
,2021-03-10,BAJFINANCE,1,2,0,0,1,0,5545.05
,2021-03-10,BALKRISIND,1,1,0,0,1,0,1625.6
,2021-03-10,BANDHANBNK,0,1,1,0,0,0,349.7
,2021-03-10,BANKBARODA,0,1,4,0,0,0,80.0
,2021-03-10,BANKINDIA,0,0,2,2,0,2,76.95
,2021-03-10,BATAINDIA,1,2,0,0,1,0,1506.1
,2021-03-10,BBTC,0,1,1,0,0,0,1202.3
,2021-03-10,BEL,0,0,4,5,0,4,139.75
,2021-03-10,BERGEPAINT,1,2,0,0,1,0,730.35
,2021-03-10,BHARATFORG,0,1,2,0,0,0,622.6
,2021-03-10,BHARTIARTL,0,1,5,0,0,0,525.85
,2021-03-10,BHEL,0,4,0,0,0,0,54.8
,2021-03-10,BIOCON,2,1,0,0,1,0,402.55
,2021-03-10,BOSCHLTD,0,2,1,0,0,0,14997.1
,2021-03-10,BPCL,0,1,3,0,0,0,445.5
,2021-03-10,BRITANNIA,0,1,2,0,0,0,3480.35
,2021-03-10,CADILAHC,0,1,1,0,0,0,448.4
,2021-03-10,CANBK,0,1,4,0,0,0,161.2
,2021-03-10,CASTROLIND,0,0,3,2,0,2,134.5
,2021-03-10,CESC,0,0,3,1,0,1,628.95
,2021-03-10,CHOLAFIN,3,1,0,0,1,0,539.4
,2021-03-10,CIPLA,0,1,2,0,0,0,812.4
,2021-03-10,COALINDIA,0,1,2,0,0,0,150.95
,2021-03-10,COFORGE,1,1,0,0,1,0,2734.0
,2021-03-10,COLPAL,0,1,2,0,0,0,1647.55
,2021-03-10,CONCOR,0,0,4,2,0,2,573.65
,2021-03-10,COROMANDEL,1,1,0,0,1,0,773.55
,2021-03-10,CROMPTON,1,0,0,1,0,0,419.5
,2021-03-10,CUB,0,1,1,0,0,0,172.4
,2021-03-10,CUMMINSIND,0,2,4,0,0,0,879.35
,2021-03-10,DABUR,7,1,0,0,1,0,531.15
,2021-03-10,DALBHARAT,0,1,3,0,0,0,1470.3
,2021-03-10,DEEPAKNTR,1,1,0,0,1,0,1599.3
,2021-03-10,DHANI,0,0,7,7,0,7,294.35
,2021-03-10,DIVISLAB,0,1,1,0,0,0,3528.1
,2021-03-10,DIXON,0,2,1,0,0,0,20103.75
,2021-03-10,DLF,0,1,4,0,0,0,314.25
,2021-03-10,DMART,0,0,3,2,0,2,3155.2
,2021-03-10,DRREDDY,0,1,4,0,0,0,4500.4
,2021-03-10,EICHERMOT,1,1,0,0,1,0,2672.3
,2021-03-10,EMAMILTD,1,1,0,0,1,0,482.35
,2021-03-10,ENDURANCE,0,2,2,0,0,0,1400.55
,2021-03-10,ESCORTS,2,3,0,0,2,0,1365.0
,2021-03-10,EXIDEIND,0,1,5,0,0,0,202.8
,2021-03-10,FEDERALBNK,0,1,4,0,0,0,86.3
