Company Name,Industry,Symbol,Series,ISIN Code
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01027
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,EQ,INE767A01016
Aegis Logistics Ltd.,SERVICES,AEGISCHEM,EQ,INE208C01025
Affle (India) Ltd.,IT,AFFLE,EQ,INE00WC01019
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,EQ,INE150B01021
Alok Industries Ltd.,TEXTILES,ALOKINDS,EQ,INE270A01029
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,EQ,INE171Z01018
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035
Blue Dart Express Ltd.,SERVICES,BLUEDART,EQ,INE233B01017
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039
CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,EQ,INE679A01013
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,EQ,INE475E01026
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,EQ,INE120A01034
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,EQ,INE736A01011
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021
Century Textile & Industries Ltd.,PAPER AND JUTE,CENTURYTEX,EQ,INE055A01016
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01017
Computer Age Management Services Ltd.,FINANCIAL SERVICES,CAMS,EQ,INE596I01012
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
Delta Corp Ltd.,CONSUMER SERVICES,DELTACORP,EQ,INE124G01033
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,EQ,INE917M01012
E.I.D. Parry (India) Ltd.,CONSUMER GOODS,EIDPARRY,EQ,INE126A01031
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,EQ,INE532F01054
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
FDC Ltd.,PHARMA,FDC,EQ,INE258B01022
Fine Organic Industries Ltd.,CHEMICALS,FINEORG,EQ,INE686Y01026
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Future Retail Ltd.,CONSUMER SERVICES,FRETAIL,EQ,INE752P01024
GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,EQ,INE541A01023
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,EQ,INE545A01016
Happiest Minds Technologies Ltd.,IT,HAPPSTMNDS,EQ,INE419U01012
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,EQ,INE578A01017
Hindustan Copper Ltd.,METALS,HINDCOPPER,EQ,INE531E01026
IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016
IOL Chem and Pharma Ltd.,PHARMA,IOLCP,EQ,INE485C01011
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,EQ,INE821I01014
IRCON International Ltd.,CONSTRUCTION,IRCON,EQ,INE962Y01021
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,EQ,INE022Q01020
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01028
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,EQ,INE786A01032
Justdial Ltd.,CONSUMER SERVICES,JUSTDIAL,EQ,INE599M01018
