Date,Open,High,Low,Close,Adj Close,Volume,Name
2019-05-13,22727.400390625,23118.0,22727.400390625,22783.80078125,22783.80078125,652,3MINDIA
2019-05-14,22912.400390625,23300.0,22700.0,23219.05078125,23219.05078125,1022,3MINDIA
2019-05-15,23397.849609375,23444.94921875,22565.150390625,22951.25,22951.25,780,3MINDIA
2019-05-16,22951.25,23038.69921875,22599.900390625,22760.099609375,22760.099609375,969,3MINDIA
2019-05-17,22968.0,22986.94921875,22500.0,22758.650390625,22758.650390625,973,3MINDIA
2019-05-20,23399.0,23756.80078125,22625.0,22996.0,22996.0,2671,3MINDIA
2019-05-21,22990.849609375,23219.80078125,22710.25,23109.19921875,23109.19921875,2088,3MINDIA
2019-05-22,22900.5,23200.0,22621.0,22826.75,22826.75,1592,3MINDIA
2019-05-23,23188.0,23299.0,22871.849609375,23122.849609375,23122.849609375,1430,3MINDIA
2019-05-24,23284.650390625,23936.0,23051.5,23836.099609375,23836.099609375,1058,3MINDIA
2019-05-27,23999.0,24254.94921875,23858.75,23937.5,23937.5,2059,3MINDIA
2019-05-28,23930.0,24200.0,23799.94921875,23913.05078125,23913.05078125,1689,3MINDIA
2019-05-29,22790.0,23149.0,21910.0,22927.25,22927.25,12565,3MINDIA
2019-05-30,22700.0,23200.0,22601.0,22816.349609375,22816.349609375,1839,3MINDIA
2019-05-31,23182.80078125,23182.80078125,22500.0,22741.80078125,22741.80078125,1391,3MINDIA
2019-06-03,22718.900390625,22900.0,22500.5,22859.05078125,22859.05078125,1051,3MINDIA
2019-06-04,22911.900390625,23100.0,22512.0,22575.25,22575.25,1197,3MINDIA
2019-06-06,22574.5,22735.80078125,22452.150390625,22497.05078125,22497.05078125,2116,3MINDIA
2019-06-07,22497.05078125,22550.0,22351.0,22497.55078125,22497.55078125,1312,3MINDIA
2019-06-10,22497.55078125,22699.94921875,22395.0,22608.19921875,22608.19921875,1493,3MINDIA
2019-06-11,22800.0,22800.0,22450.0,22490.099609375,22490.099609375,1308,3MINDIA
2019-06-12,22505.349609375,22590.0,22360.0,22439.25,22439.25,1035,3MINDIA
2019-06-13,22360.0,22799.94921875,22300.0,22365.900390625,22365.900390625,722,3MINDIA
2019-06-14,22500.0,22600.0,22305.0,22462.55078125,22462.55078125,522,3MINDIA
2019-06-17,22375.05078125,22509.0,22200.0,22218.94921875,22218.94921875,1384,3MINDIA
2019-06-18,22218.0,22360.0,22000.0,22030.849609375,22030.849609375,675,3MINDIA
2019-06-19,22150.75,22420.05078125,22000.0,22021.44921875,22021.44921875,617,3MINDIA
2019-06-20,22042.599609375,22698.0,22009.94921875,22654.650390625,22654.650390625,743,3MINDIA
2019-06-21,22781.5,23700.0,22650.0,23529.599609375,23529.599609375,4380,3MINDIA
2019-06-24,23700.0,23979.849609375,23120.0,23779.099609375,23779.099609375,2765,3MINDIA
2019-06-25,23511.05078125,23894.69921875,22700.0,23183.900390625,23183.900390625,1707,3MINDIA
2019-06-26,23236.55078125,23485.30078125,22910.0,22927.75,22927.75,1917,3MINDIA
2019-06-27,23018.349609375,23500.0,22700.0,23018.44921875,23018.44921875,1123,3MINDIA
2019-06-28,22901.0,23290.0,22901.0,23215.80078125,23215.80078125,664,3MINDIA
2019-07-01,23210.0,23500.0,22765.0,23014.30078125,23014.30078125,1492,3MINDIA
2019-07-02,22702.349609375,23489.94921875,22702.349609375,23392.900390625,23392.900390625,727,3MINDIA
2019-07-03,23304.349609375,23450.0,23085.0,23206.849609375,23206.849609375,1379,3MINDIA
2019-07-04,23245.0,23400.0,22680.0,22794.69921875,22794.69921875,1071,3MINDIA
2019-07-05,22964.400390625,23042.69921875,22600.0,22753.75,22753.75,1021,3MINDIA
2019-07-08,22500.0,22898.900390625,22050.0,22108.349609375,22108.349609375,1329,3MINDIA
2019-07-09,22021.05078125,22199.849609375,21800.0,21848.55078125,21848.55078125,2673,3MINDIA
2019-07-10,22106.400390625,22113.900390625,21851.55078125,21985.30078125,21985.30078125,701,3MINDIA
2019-07-11,22000.0,22185.94921875,21662.0,21719.05078125,21719.05078125,726,3MINDIA
2019-07-12,21819.75,22053.0,21750.0,21930.19921875,21930.19921875,1059,3MINDIA
2019-07-15,21817.19921875,21996.0,21702.25,21753.400390625,21753.400390625,427,3MINDIA
2019-07-16,22130.0,22130.0,21940.30078125,22053.80078125,22053.80078125,426,3MINDIA
2019-07-17,22053.80078125,22450.0,22025.0,22258.69921875,22258.69921875,619,3MINDIA
2019-07-18,22258.0,22336.19921875,21905.55078125,21915.849609375,21915.849609375,651,3MINDIA
2019-07-19,22054.099609375,22054.099609375,21730.0,21884.849609375,21884.849609375,458,3MINDIA
2019-07-22,21884.849609375,21884.849609375,21650.05078125,21677.19921875,21677.19921875,6166,3MINDIA
2019-07-23,21848.0,21900.0,21600.0,21828.400390625,21828.400390625,612,3MINDIA
2019-07-24,21853.75,21900.0,21400.0,21454.19921875,21454.19921875,912,3MINDIA
2019-07-25,21620.5,21688.0,21102.0,21162.150390625,21162.150390625,1060,3MINDIA
2019-07-26,20900.0,21157.650390625,20743.099609375,20903.400390625,20903.400390625,2335,3MINDIA
2019-07-29,21274.0,21350.0,20701.55078125,21268.80078125,21268.80078125,658,3MINDIA
2019-07-30,21259.94921875,21378.5,20867.650390625,20989.849609375,20989.849609375,904,3MINDIA
2019-07-31,20990.0,21222.0,20669.25,21107.900390625,21107.900390625,846,3MINDIA
2019-08-01,21211.94921875,21293.30078125,20630.0,20704.099609375,20704.099609375,663,3MINDIA
2019-08-02,20733.25,20964.30078125,20506.05078125,20842.650390625,20842.650390625,727,3MINDIA
2019-08-05,20820.0,20820.0,20200.0,20557.349609375,20557.349609375,1163,3MINDIA
2019-08-06,20730.0,20900.0,20493.30078125,20836.75,20836.75,683,3MINDIA
