SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
ACC,1634.0,1769.55,1628.0,1761.25,08-JAN-2021
AUBANK,890.0,916.3,868.0,893.6,08-JAN-2021
AARTIIND,1263.0,1365.9,1260.45,1280.4,08-JAN-2021
ABBOTINDIA,15793.75,15862.9,15400.0,15496.05,08-JAN-2021
ADANIENT,492.0,526.6,484.25,518.0,08-JAN-2021
ADANIGREEN,1088.4,1114.0,1009.95,1014.9,08-JAN-2021
ADANIPORTS,507.0,527.35,489.5,517.0,08-JAN-2021
ADANITRANS,437.25,462.3,435.1,454.75,08-JAN-2021
ABCAPITAL,89.85,94.2,87.3,92.4,08-JAN-2021
ABFRL,168.5,170.55,163.5,166.45,08-JAN-2021
AJANTPHARM,1651.9,1834.0,1642.0,1790.45,08-JAN-2021
APLLTD,1045.0,1109.55,1031.2,1092.9,08-JAN-2021
ALKEM,2984.0,3068.8,2931.0,3041.25,08-JAN-2021
AMARAJABAT,927.6,1006.65,923.9,1002.0,08-JAN-2021
AMBUJACEM,252.9,271.4,250.0,269.95,08-JAN-2021
APOLLOHOSP,2418.1,2579.0,2385.8,2553.5,08-JAN-2021
APOLLOTYRE,181.9,196.55,180.5,192.6,08-JAN-2021
ASHOKLEY,99.95,113.75,99.5,112.8,08-JAN-2021
ASIANPAINT,2781.1,2849.8,2732.0,2844.7,08-JAN-2021
AUROPHARMA,936.1,996.85,926.65,945.45,08-JAN-2021
DMART,2808.0,3100.0,2805.0,2967.5,08-JAN-2021
AXISBANK,627.8,678.85,618.0,672.7,08-JAN-2021
BAJAJ-AUTO,3490.0,3544.6,3428.25,3529.15,08-JAN-2021
BAJFINANCE,5324.0,5324.0,4990.3,5082.0,08-JAN-2021
BAJAJFINSV,8940.0,9265.0,8636.0,9171.6,08-JAN-2021
BAJAJHLDNG,3139.95,3152.5,3050.0,3131.3,08-JAN-2021
BALKRISIND,1640.5,1733.45,1617.0,1721.85,08-JAN-2021
BANDHANBNK,404.0,424.0,390.4,419.4,08-JAN-2021
BANKBARODA,65.1,67.7,64.3,65.55,08-JAN-2021
BANKINDIA,50.65,52.45,49.5,50.9,08-JAN-2021
BATAINDIA,1585.0,1681.95,1566.0,1649.15,08-JAN-2021
BERGEPAINT,766.0,812.95,765.3,810.6,08-JAN-2021
BEL,129.0,135.4,126.9,132.1,08-JAN-2021
BHARATFORG,546.5,606.0,534.2,603.3,08-JAN-2021
BHEL,39.3,40.85,38.25,39.35,08-JAN-2021
BPCL,384.9,406.0,382.55,400.15,08-JAN-2021
BHARTIARTL,517.0,554.45,511.1,540.25,08-JAN-2021
BIOCON,468.0,471.75,453.8,465.65,08-JAN-2021
BBTC,1313.6,1354.7,1278.1,1288.3,08-JAN-2021
