SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
ACC,1934.95,1934.95,1812.0,1881.75,16-APR-2021
AUBANK,1153.0,1153.0,1025.45,1077.1,16-APR-2021
AARTIIND,1411.0,1455.95,1332.55,1425.25,16-APR-2021
ABBOTINDIA,15233.0,15233.0,14821.25,14964.85,16-APR-2021
ADANIENT,1177.4,1192.0,1051.05,1159.0,16-APR-2021
ADANIGREEN,1129.95,1148.0,1035.15,1108.6,16-APR-2021
ADANIPORTS,809.9,809.9,701.35,755.5,16-APR-2021
ATGL,1070.0,1167.0,950.0,1134.7,16-APR-2021
ADANITRANS,949.2,991.35,860.1,991.35,16-APR-2021
ABCAPITAL,120.5,123.4,112.8,120.1,16-APR-2021
ABFRL,185.0,185.0,169.25,173.75,16-APR-2021
AJANTPHARM,1737.95,1782.0,1690.0,1730.9,16-APR-2021
APLLTD,1021.0,1024.15,955.0,1001.2,16-APR-2021
ALKEM,2829.9,2889.0,2681.5,2790.8,16-APR-2021
AMARAJABAT,810.0,818.1,788.5,809.35,16-APR-2021
AMBUJACEM,310.9,312.2,293.0,300.7,16-APR-2021
APOLLOHOSP,3119.0,3119.0,2902.3,3061.0,16-APR-2021
APOLLOTYRE,219.9,219.9,202.5,208.75,16-APR-2021
ASHOKLEY,117.35,117.35,110.05,113.65,16-APR-2021
ASIANPAINT,2578.2,2693.5,2537.0,2663.7,16-APR-2021
AUROPHARMA,940.7,959.0,889.5,953.0,16-APR-2021
DMART,2861.1,2980.0,2790.1,2919.9,16-APR-2021
AXISBANK,651.0,675.25,626.65,669.2,16-APR-2021
BAJAJ-AUTO,3579.5,3657.5,3480.05,3634.65,16-APR-2021
BAJFINANCE,4740.0,4774.9,4400.0,4616.6,16-APR-2021
BAJAJFINSV,9419.95,9880.0,9035.85,9824.75,16-APR-2021
BAJAJHLDNG,3325.0,3415.95,3225.15,3378.25,16-APR-2021
BALKRISIND,1622.0,1695.5,1552.0,1687.35,16-APR-2021
BANDHANBNK,349.9,349.9,317.45,322.65,16-APR-2021
BANKBARODA,72.0,72.0,63.25,67.35,16-APR-2021
BANKINDIA,71.1,73.45,63.65,69.65,16-APR-2021
BATAINDIA,1378.0,1384.95,1293.95,1323.55,16-APR-2021
BERGEPAINT,746.9,749.9,711.0,735.3,16-APR-2021
BEL,127.9,129.7,120.5,128.0,16-APR-2021
BHARATFORG,600.0,600.0,559.0,586.75,16-APR-2021
BHEL,50.0,50.0,44.3,46.2,16-APR-2021
BPCL,417.95,422.95,402.0,413.8,16-APR-2021
BHARTIARTL,537.55,546.15,518.5,540.75,16-APR-2021
BIOCON,418.7,420.5,399.35,412.85,16-APR-2021
BBTC,1249.9,1249.9,1175.6,1194.95,16-APR-2021
BOSCHLTD,14085.0,14380.0,13447.1,13855.95,16-APR-2021
BRITANNIA,3777.95,3850.0,3673.0,3696.5,16-APR-2021
CESC,604.0,619.55,588.1,610.15,16-APR-2021
CADILAHC,517.75,532.0,478.55,527.1,16-APR-2021
CANBK,143.95,143.95,130.35,134.2,16-APR-2021
CASTROLIND,124.8,128.9,118.4,123.0,16-APR-2021
CHOLAFIN,544.7,550.5,503.7,540.6,16-APR-2021
CIPLA,890.0,944.25,878.3,938.05,16-APR-2021
CUB,163.0,165.5,157.1,161.85,16-APR-2021
COALINDIA,128.0,130.8,123.6,127.85,16-APR-2021
COFORGE,3153.8,3222.9,2817.7,3171.95,16-APR-2021
COLPAL,1590.0,1602.0,1531.55,1570.85,16-APR-2021
CONCOR,575.0,585.65,552.0,568.0,16-APR-2021
COROMANDEL,770.0,770.0,725.6,746.4,16-APR-2021
CROMPTON,385.9,394.65,363.4,386.55,16-APR-2021
CUMMINSIND,868.25,868.9,804.0,849.1,16-APR-2021
DLF,271.0,272.85,244.0,252.45,16-APR-2021
DABUR,556.0,581.9,549.5,575.0,16-APR-2021
DALBHARAT,1540.0,1600.0,1438.9,1559.95,16-APR-2021
DEEPAKNTR,1670.0,1670.0,1557.0,1587.95,16-APR-2021
DHANI,214.8,214.8,193.9,204.4,16-APR-2021
DIVISLAB,3760.0,3898.0,3675.2,3821.85,16-APR-2021
DIXON,3636.6,3775.0,3460.0,3736.35,16-APR-2021
LALPATHLAB,3154.0,3399.3,2901.0,2920.2,16-APR-2021
DRREDDY,4775.0,5144.7,4695.0,4893.25,16-APR-2021
EICHERMOT,2490.0,2510.0,2378.0,2434.85,16-APR-2021
EMAMILTD,519.8,547.0,494.35,543.55,16-APR-2021
ENDURANCE,1363.0,1369.95,1249.4,1319.75,16-APR-2021
ESCORTS,1249.0,1256.9,1177.25,1246.9,16-APR-2021
EXIDEIND,183.5,185.0,175.1,177.5,16-APR-2021
FEDERALBNK,75.0,77.6,70.35,76.4,16-APR-2021
FORTIS,204.0,216.0,199.25,203.65,16-APR-2021
GAIL,134.4,142.4,130.55,139.6,16-APR-2021
GMRINFRA,24.35,24.4,22.8,23.95,16-APR-2021
GLENMARK,532.0,578.0,484.85,571.9,16-APR-2021
GODREJAGRO,508.0,512.0,492.35,496.65,16-APR-2021
GODREJCP,739.0,740.95,706.6,731.9,16-APR-2021
GODREJIND,521.05,549.0,501.0,537.95,16-APR-2021
GODREJPROP,1305.0,1354.9,1244.55,1336.9,16-APR-2021
GRASIM,1417.95,1424.95,1325.0,1353.2,16-APR-2021
GUJGASLTD,556.1,559.75,510.3,543.4,16-APR-2021
GSPL,270.0,270.0,248.55,257.2,16-APR-2021
HCLTECH,1042.95,1042.95,958.75,1012.75,16-APR-2021
HDFCAMC,2880.0,2977.0,2756.0,2929.8,16-APR-2021
HDFCBANK,1393.0,1445.0,1353.0,1428.65,16-APR-2021
HDFCLIFE,685.0,713.7,679.6,690.65,16-APR-2021
HAVELLS,1048.0,1050.8,980.65,1010.45,16-APR-2021
HEROMOTOCO,2874.0,2924.95,2741.1,2894.85,16-APR-2021
HINDALCO,352.1,376.5,331.6,370.0,16-APR-2021
HAL,993.0,993.0,946.3,964.5,16-APR-2021
HINDPETRO,230.0,240.0,222.8,236.55,16-APR-2021
