SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
ACC,1749.8,1847.0,1686.05,1733.2,26-FEB-2021
AUBANK,1109.0,1207.0,1048.0,1126.5,26-FEB-2021
AARTIIND,1197.05,1251.45,1183.05,1235.0,26-FEB-2021
ABBOTINDIA,14780.0,14789.65,14228.0,14389.45,26-FEB-2021
ADANIENT,786.0,862.4,780.55,833.65,26-FEB-2021
ADANIGREEN,1103.0,1209.7,1101.55,1159.85,26-FEB-2021
ADANIPORTS,658.8,711.35,649.0,675.9,26-FEB-2021
ATGL,502.5,518.95,474.1,512.2,26-FEB-2021
ADANITRANS,770.0,776.45,687.0,750.0,26-FEB-2021
ABCAPITAL,98.5,127.35,98.5,123.65,26-FEB-2021
ABFRL,164.8,185.0,164.7,183.6,26-FEB-2021
AJANTPHARM,1749.5,1858.0,1660.0,1747.7,26-FEB-2021
APLLTD,891.5,928.8,870.0,920.75,26-FEB-2021
ALKEM,2868.5,2879.9,2710.0,2722.05,26-FEB-2021
AMARAJABAT,886.0,912.85,868.25,882.15,26-FEB-2021
AMBUJACEM,275.5,288.5,263.15,273.5,26-FEB-2021
APOLLOHOSP,2918.45,3173.95,2866.9,3058.65,26-FEB-2021
APOLLOTYRE,238.55,243.75,223.4,232.1,26-FEB-2021
ASHOKLEY,123.8,131.7,120.6,128.85,26-FEB-2021
ASIANPAINT,2428.75,2448.0,2260.0,2277.2,26-FEB-2021
AUROPHARMA,886.0,890.7,837.0,855.2,26-FEB-2021
DMART,3093.55,3175.85,2900.0,2994.2,26-FEB-2021
AXISBANK,749.65,783.5,712.6,724.8,26-FEB-2021
BAJAJ-AUTO,4010.0,4040.0,3773.05,3798.7,26-FEB-2021
BAJFINANCE,5480.0,5619.95,5221.0,5264.9,26-FEB-2021
BAJAJFINSV,10230.0,10377.95,9600.0,9648.6,26-FEB-2021
BAJAJHLDNG,3612.0,3757.15,3536.6,3630.2,26-FEB-2021
BALKRISIND,1547.85,1610.8,1516.65,1558.0,26-FEB-2021
BANDHANBNK,336.8,350.75,322.65,345.25,26-FEB-2021
BANKBARODA,91.4,93.75,85.0,85.4,26-FEB-2021
BANKINDIA,82.5,90.25,77.6,82.45,26-FEB-2021
BATAINDIA,1500.0,1506.6,1434.15,1438.2,26-FEB-2021
BERGEPAINT,731.0,743.95,675.05,679.85,26-FEB-2021
BEL,135.5,143.0,129.25,137.1,26-FEB-2021
BHARATFORG,603.8,623.7,583.6,610.05,26-FEB-2021
BHEL,40.1,48.8,36.65,47.6,26-FEB-2021
BPCL,429.3,467.8,418.0,449.85,26-FEB-2021
BHARTIARTL,582.0,585.95,551.75,556.3,26-FEB-2021
BIOCON,405.0,406.8,384.1,390.2,26-FEB-2021
BBTC,1196.95,1234.4,1150.0,1159.5,26-FEB-2021
BOSCHLTD,15639.85,15639.85,14353.6,14854.9,26-FEB-2021
BRITANNIA,3350.0,3425.7,3317.3,3363.75,26-FEB-2021
CESC,614.45,617.95,590.0,605.7,26-FEB-2021
CADILAHC,450.0,451.0,421.0,435.2,26-FEB-2021
CANBK,160.0,165.9,153.5,157.2,26-FEB-2021
CASTROLIND,128.9,130.65,123.2,129.7,26-FEB-2021
CHOLAFIN,534.4,550.95,487.35,518.9,26-FEB-2021
CIPLA,811.4,820.0,776.25,787.05,26-FEB-2021
CUB,165.4,170.3,158.75,165.3,26-FEB-2021
COALINDIA,138.85,163.0,135.1,152.2,26-FEB-2021
COFORGE,2571.0,2590.0,2300.0,2542.05,26-FEB-2021
COLPAL,1555.25,1599.9,1533.0,1581.2,26-FEB-2021
CONCOR,568.9,597.0,544.25,557.85,26-FEB-2021
COROMANDEL,763.0,787.0,743.5,771.35,26-FEB-2021
CROMPTON,396.65,399.75,371.25,385.15,26-FEB-2021
CUMMINSIND,769.7,822.0,760.3,787.75,26-FEB-2021
DLF,300.0,319.0,291.1,302.5,26-FEB-2021
DABUR,514.75,517.3,497.05,503.1,26-FEB-2021
DALBHARAT,1484.0,1574.0,1365.6,1436.15,26-FEB-2021
DEEPAKNTR,1290.0,1443.4,1246.25,1368.65,26-FEB-2021
DHANI,357.25,369.95,335.6,362.0,26-FEB-2021
DIVISLAB,3510.0,3563.0,3326.4,3363.1,26-FEB-2021
DIXON,19525.0,20448.0,18480.0,19848.9,26-FEB-2021
LALPATHLAB,2474.8,2542.65,2235.8,2300.7,26-FEB-2021
DRREDDY,4708.0,4726.95,4377.0,4426.55,26-FEB-2021
EICHERMOT,2586.1,2590.0,2450.0,2498.6,26-FEB-2021
EMAMILTD,476.3,483.45,446.05,455.2,26-FEB-2021
ENDURANCE,1400.0,1450.0,1325.0,1442.15,26-FEB-2021
ESCORTS,1335.95,1340.0,1247.65,1310.9,26-FEB-2021
EXIDEIND,205.0,209.55,198.4,202.7,26-FEB-2021
FEDERALBNK,83.75,88.15,79.5,83.55,26-FEB-2021
FORTIS,159.45,164.95,156.0,158.35,26-FEB-2021
GAIL,145.0,152.8,140.4,141.8,26-FEB-2021
GMRINFRA,25.2,27.3,24.5,26.05,26-FEB-2021
GLENMARK,484.1,485.8,449.6,466.2,26-FEB-2021
GODREJAGRO,486.5,495.0,476.4,485.75,26-FEB-2021
GODREJCP,713.0,718.45,676.0,686.4,26-FEB-2021
GODREJIND,457.0,459.6,426.6,446.45,26-FEB-2021
GODREJPROP,1526.0,1564.65,1425.0,1540.55,26-FEB-2021
GRASIM,1221.5,1289.0,1190.85,1200.8,26-FEB-2021
GUJGASLTD,497.0,509.0,429.75,494.7,26-FEB-2021
GSPL,246.35,256.75,233.45,249.8,26-FEB-2021
HCLTECH,949.5,951.45,905.1,909.45,26-FEB-2021
HDFCAMC,2930.1,2985.0,2855.0,2937.0,26-FEB-2021
HDFCBANK,1545.05,1636.25,1516.25,1534.4,26-FEB-2021
HDFCLIFE,711.0,744.0,688.05,700.65,26-FEB-2021
HAVELLS,1141.0,1196.45,1096.0,1105.55,26-FEB-2021
HEROMOTOCO,3400.0,3500.0,3199.8,3224.0,26-FEB-2021
HINDALCO,310.0,354.6,310.0,340.25,26-FEB-2021
HAL,1066.0,1115.0,1011.0,1087.05,26-FEB-2021
HINDPETRO,245.0,259.25,239.5,242.45,26-FEB-2021
HINDUNILVR,2205.0,2205.0,2120.0,2132.05,26-FEB-2021
HINDZINC,302.45,311.9,291.0,297.5,26-FEB-2021
HDFC,2741.3,2741.3,2520.0,2539.4,26-FEB-2021
ICICIBANK,622.0,648.4,590.9,597.75,26-FEB-2021
ICICIGI,1495.5,1517.5,1380.15,1426.0,26-FEB-2021
ICICIPRULI,482.0,494.0,457.85,461.55,26-FEB-2021
ISEC,404.0,413.7,395.2,406.6,26-FEB-2021
IDFCFIRSTB,63.0,65.8,60.7,63.45,26-FEB-2021
ITC,212.0,212.0,203.0,203.85,26-FEB-2021
IBULHSGFIN,228.3,231.75,214.0,218.75,26-FEB-2021
INDIAMART,8850.0,9463.8,8500.1,8595.75,26-FEB-2021
INDHOTEL,122.9,124.15,118.0,122.85,26-FEB-2021
IOC,97.5,101.95,95.1,98.05,26-FEB-2021
IRCTC,1675.0,1809.95,1592.8,1759.65,26-FEB-2021
IGL,545.0,545.0,487.0,491.95,26-FEB-2021
INDUSTOWER,263.0,282.65,244.5,257.8,26-FEB-2021
INDUSINDBK,1064.95,1119.5,1018.0,1062.95,26-FEB-2021
NAUKRI,5154.0,5250.0,4754.4,4910.35,26-FEB-2021
INFY,1295.0,1308.55,1244.75,1253.3,26-FEB-2021
INDIGO,1565.05,1669.95,1502.3,1619.95,26-FEB-2021
IPCALAB,1839.9,1884.5,1785.4,1849.55,26-FEB-2021
JSWENERGY,73.95,75.4,71.05,71.9,26-FEB-2021
JSWSTEEL,396.15,426.6,392.05,395.45,26-FEB-2021
JINDALSTEL,320.05,346.95,318.0,335.9,26-FEB-2021
JUBLFOOD,2959.95,3215.5,2925.35,2994.9,26-FEB-2021
KOTAKBANK,1938.75,1965.2,1773.0,1780.35,26-FEB-2021
L&TFH,100.0,106.95,95.0,104.9,26-FEB-2021
LTTS,2630.0,2649.4,2441.0,2567.7,26-FEB-2021
LICHSGFIN,452.75,455.7,425.45,429.5,26-FEB-2021
LTI,3822.0,3854.95,3570.0,3599.85,26-FEB-2021
LT,1510.9,1540.6,1435.15,1442.5,26-FEB-2021
LAURUSLABS,367.0,369.0,347.05,350.15,26-FEB-2021
