SYMBOL,DATE,NAME,HH,HL,LH,LL,HHL,LHL,CLOSE
,2021-01-04,AARTIIND,1,1,0,0,1,0,1282.05
,2021-01-04,ABBOTINDIA,1,0,0,1,0,0,15668.05
,2021-01-04,ABCAPITAL,1,1,0,0,1,0,89.35
,2021-01-04,ABFRL,0,0,1,1,0,1,166.8
,2021-01-04,ACC,1,1,0,0,1,0,1641.4
,2021-01-04,ADANIENT,1,1,0,0,1,0,494.5
,2021-01-04,ADANIGREEN,1,1,0,0,1,0,1082.25
,2021-01-04,ADANIPORTS,1,1,0,0,1,0,498.9
,2021-01-04,ADANITRANS,1,1,0,0,1,0,441.2
,2021-01-04,AJANTPHARM,1,1,0,0,1,0,1649.8
,2021-01-04,ALKEM,0,1,0,0,0,0,2967.2
,2021-01-04,AMARAJABAT,1,1,0,0,1,0,965.75
,2021-01-04,AMBUJACEM,1,1,0,0,1,0,252.9
,2021-01-04,APLLTD,1,0,0,1,0,0,1062.7
,2021-01-04,APOLLOHOSP,0,1,1,0,0,0,2409.25
,2021-01-04,APOLLOTYRE,1,1,0,0,1,0,188.6
,2021-01-04,ASHOKLEY,1,1,0,0,1,0,104.05
,2021-01-04,ASIANPAINT,0,0,1,1,0,1,2753.7
,2021-01-04,AUBANK,1,1,0,0,1,0,883.25
,2021-01-04,AUROPHARMA,1,1,0,0,1,0,965.75
,2021-01-04,AXISBANK,1,1,0,0,1,0,624.7
,2021-01-04,BAJAJ-AUTO,1,1,0,0,1,0,3522.45
,2021-01-04,BAJAJFINSV,1,1,0,0,1,0,8898.75
,2021-01-04,BAJAJHLDNG,1,1,0,0,1,0,3142.6
,2021-01-04,BAJFINANCE,0,0,1,1,0,1,5216.2
,2021-01-04,BALKRISIND,1,0,0,1,0,0,1674.75
,2021-01-04,BANDHANBNK,0,0,1,1,0,1,397.0
,2021-01-04,BANKBARODA,1,1,0,0,1,0,65.8
,2021-01-04,BANKINDIA,1,1,0,0,1,0,50.35
,2021-01-04,BATAINDIA,1,0,0,1,0,0,1594.85
,2021-01-04,BBTC,1,0,0,1,0,0,1297.25
,2021-01-04,BEL,1,1,0,0,1,0,131.3
,2021-01-04,BERGEPAINT,1,1,0,0,1,0,778.5
,2021-01-04,BHARATFORG,1,1,0,0,1,0,552.6
,2021-01-04,BHARTIARTL,1,1,0,0,1,0,517.1
,2021-01-04,BHEL,1,1,0,0,1,0,40.65
,2021-01-04,BIOCON,1,1,0,0,1,0,467.0
,2021-01-04,BOSCHLTD,1,1,0,0,1,0,13334.3
,2021-01-04,BPCL,1,1,0,0,1,0,395.35
,2021-01-04,BRITANNIA,0,0,1,1,0,1,3552.9
,2021-01-04,CADILAHC,1,1,0,0,1,0,486.4
,2021-01-04,CANBK,1,1,0,0,1,0,134.0
,2021-01-04,CASTROLIND,0,1,1,0,0,0,123.05
,2021-01-04,CESC,1,1,0,0,1,0,625.1
,2021-01-04,CHOLAFIN,1,1,0,0,1,0,443.25
,2021-01-04,CIPLA,1,1,0,0,1,0,832.25
,2021-01-04,COALINDIA,1,1,0,0,1,0,137.25
,2021-01-04,COFORGE,1,1,0,0,1,0,2838.55
,2021-01-04,COLPAL,1,0,0,1,0,0,1576.1
,2021-01-04,CONCOR,1,1,0,0,1,0,413.8
,2021-01-04,COROMANDEL,0,0,1,1,0,1,822.0
,2021-01-04,CROMPTON,0,0,1,1,0,1,373.7
,2021-01-04,CUB,1,0,0,1,0,0,179.1
,2021-01-04,CUMMINSIND,1,1,0,0,1,0,609.25
,2021-01-04,DABUR,1,1,0,0,1,0,543.35
,2021-01-04,DALBHARAT,1,1,0,0,1,0,1137.25
,2021-01-04,DEEPAKNTR,1,1,0,0,1,0,1034.05
,2021-01-04,DHANI,1,1,0,0,1,0,316.15
