SYMBOL,DATE,NAME,HH,HL,LH,LL,HHL,LHL,CLOSE
,2021-05-05,AARTIIND,4,4,0,0,4,0,1715.7
,2021-05-05,ABBOTINDIA,0,3,1,0,0,0,15403.45
,2021-05-05,ABCAPITAL,0,2,1,0,0,0,114.25
,2021-05-05,ABFRL,0,0,1,1,0,1,172.95
,2021-05-05,ACC,0,2,1,0,0,0,1888.55
,2021-05-05,ADANIENT,0,0,1,1,0,1,1267.5
,2021-05-05,ADANIGREEN,2,2,0,0,2,0,1064.55
,2021-05-05,ADANIPORTS,0,0,1,1,0,1,738.1
,2021-05-05,ADANITRANS,1,2,0,0,1,0,1088.2
,2021-05-05,AJANTPHARM,1,1,0,0,1,0,1947.8
,2021-05-05,ALKEM,1,3,0,0,1,0,2894.45
,2021-05-05,AMARAJABAT,0,2,4,0,0,0,769.35
,2021-05-05,AMBUJACEM,0,2,1,0,0,0,311.45
,2021-05-05,APLLTD,0,0,1,1,0,1,955.8
,2021-05-05,APOLLOHOSP,2,2,0,0,2,0,3332.9
,2021-05-05,APOLLOTYRE,0,0,1,1,0,1,214.6
,2021-05-05,ASHOKLEY,0,0,1,1,0,1,112.15
,2021-05-05,ASIANPAINT,0,0,1,1,0,1,2567.65
,2021-05-05,AUBANK,0,0,1,4,0,1,942.05
,2021-05-05,AUROPHARMA,1,1,0,0,1,0,1018.05
,2021-05-05,AXISBANK,2,2,0,0,2,0,717.2
,2021-05-05,BAJAJ-AUTO,0,0,3,1,0,1,3843.8
,2021-05-05,BAJAJFINSV,0,2,1,0,0,0,11114.45
,2021-05-05,BAJAJHLDNG,2,2,0,0,2,0,3432.3
,2021-05-05,BAJFINANCE,0,0,1,1,0,1,5515.15
,2021-05-05,BALKRISIND,0,0,1,1,0,1,1798.25
,2021-05-05,BANDHANBNK,0,0,3,3,0,3,311.25
,2021-05-05,BANKBARODA,0,2,0,0,0,0,72.35
,2021-05-05,BANKINDIA,0,2,1,0,0,0,69.2
,2021-05-05,BATAINDIA,0,1,1,0,0,0,1359.8
,2021-05-05,BBTC,0,0,1,1,0,1,1167.95
,2021-05-05,BEL,2,3,0,0,2,0,137.85
,2021-05-05,BERGEPAINT,0,2,1,0,0,0,711.45
,2021-05-05,BHARATFORG,0,4,1,0,0,0,639.7
,2021-05-05,BHARTIARTL,0,2,1,0,0,0,559.95
,2021-05-05,BHEL,9,3,0,0,3,0,56.75
,2021-05-05,BIOCON,2,0,0,9,0,0,381.3
,2021-05-05,BOSCHLTD,0,0,1,1,0,1,13343.55
,2021-05-05,BPCL,2,3,0,0,2,0,424.8
,2021-05-05,BRITANNIA,0,1,2,0,0,0,3451.6
,2021-05-05,CADILAHC,4,0,0,2,0,0,601.7
,2021-05-05,CANBK,0,2,1,0,0,0,145.6
,2021-05-05,CASTROLIND,0,0,1,1,0,1,123.9
,2021-05-05,CESC,0,3,1,0,0,0,633.1
,2021-05-05,CHOLAFIN,0,1,1,0,0,0,558.6
,2021-05-05,CIPLA,0,0,2,2,0,2,888.65
,2021-05-05,COALINDIA,0,3,1,0,0,0,133.15
,2021-05-05,COFORGE,0,0,1,1,0,1,2892.75
,2021-05-05,COLPAL,0,3,1,0,0,0,1493.6
,2021-05-05,CONCOR,0,0,3,2,0,2,568.25
,2021-05-05,COROMANDEL,1,1,0,0,1,0,730.95
,2021-05-05,CROMPTON,1,1,0,0,1,0,375.4
,2021-05-05,CUB,0,2,1,0,0,0,169.8
,2021-05-05,CUMMINSIND,2,0,0,1,0,0,852.25
,2021-05-05,DABUR,0,1,2,0,0,0,540.95
,2021-05-05,DALBHARAT,1,0,0,1,0,0,1538.5
,2021-05-05,DEEPAKNTR,0,1,2,0,0,0,1904.0
,2021-05-05,DHANI,0,0,6,7,0,6,169.35
,2021-05-05,DIVISLAB,0,1,2,0,0,0,4035.45
,2021-05-05,DIXON,0,0,1,3,0,1,4118.2
,2021-05-05,DLF,0,2,1,0,0,0,248.45
,2021-05-05,DMART,0,3,1,0,0,0,2874.4
,2021-05-05,DRREDDY,0,1,1,0,0,0,5160.95
,2021-05-05,EICHERMOT,0,1,1,0,0,0,2372.4
,2021-05-05,EMAMILTD,2,0,0,1,0,0,488.6
,2021-05-05,ENDURANCE,0,3,1,0,0,0,1304.1
,2021-05-05,ESCORTS,0,0,1,1,0,1,1123.0
,2021-05-05,EXIDEIND,0,8,2,0,0,0,182.8
,2021-05-05,FEDERALBNK,0,0,1,0,0,0,80.05
,2021-05-05,FORTIS,0,4,1,0,0,0,221.0
,2021-05-05,GAIL,2,3,0,0,2,0,145.05
,2021-05-05,GLENMARK,0,1,2,0,0,0,572.9
,2021-05-05,GMRINFRA,1,3,0,0,1,0,23.75
,2021-05-05,GODREJAGRO,2,2,0,0,2,0,517.3
,2021-05-05,GODREJCP,0,3,1,0,0,0,708.1
,2021-05-05,GODREJIND,0,1,1,0,0,0,508.35
,2021-05-05,GODREJPROP,0,0,4,4,0,4,1223.4
,2021-05-05,GRASIM,7,8,0,0,7,0,1420.9
,2021-05-05,GSPL,0,1,1,0,0,0,271.1
,2021-05-05,GUJGASLTD,0,0,1,1,0,1,531.7
,2021-05-05,HAL,2,3,0,0,2,0,968.45
,2021-05-05,HAVELLS,0,0,1,1,0,1,997.2
,2021-05-05,HCLTECH,0,2,1,0,0,0,909.4
,2021-05-05,HDFC,0,0,1,1,0,1,2377.6
,2021-05-05,HDFCAMC,0,0,1,4,0,1,2729.95
,2021-05-05,HDFCBANK,0,0,1,1,0,1,1402.6
,2021-05-05,HDFCLIFE,0,2,1,0,0,0,674.4
,2021-05-05,HEROMOTOCO,0,2,5,0,0,0,2788.2
,2021-05-05,HINDALCO,0,2,1,0,0,0,367.1
,2021-05-05,HINDPETRO,2,3,0,0,2,0,244.8
,2021-05-05,HINDUNILVR,2,0,0,1,0,0,2394.65
,2021-05-05,HINDZINC,0,0,6,0,0,0,288.05
,2021-05-05,IBULHSGFIN,0,2,1,0,0,0,179.55
,2021-05-05,ICICIBANK,0,0,1,1,0,1,602.8
,2021-05-05,ICICIGI,3,2,0,0,2,0,1451.7
,2021-05-05,ICICIPRULI,4,3,0,0,3,0,559.4
,2021-05-05,IDEA,0,1,1,0,0,0,8.35
,2021-05-05,IDFCFIRSTB,0,2,1,0,0,0,56.2
,2021-05-05,IGL,2,2,0,0,2,0,508.5
,2021-05-05,INDHOTEL,0,2,1,0,0,0,111.75
,2021-05-05,INDIAMART,0,1,1,0,0,0,7476.85
,2021-05-05,INDIGO,0,0,1,1,0,1,1649.35
,2021-05-05,INDUSINDBK,1,2,0,0,1,0,931.15
,2021-05-05,INDUSTOWER,0,0,1,1,0,1,253.55
,2021-05-05,INFY,0,1,3,0,0,0,1341.5
,2021-05-05,IOC,0,3,1,0,0,0,92.2
,2021-05-05,IPCALAB,1,0,0,1,0,0,2109.85
,2021-05-05,IRCTC,0,0,1,1,0,1,1723.65
