SYMBOL,DATE,NAME,HH,HL,LH,LL,HHL,LHL,CLOSE
,2021-02-19,ACC,3,2,0,0,2,0,1747.35
,2021-02-19,AUBANK,3,3,0,0,3,0,1109.0
,2021-02-19,AARTIIND,3,1,0,0,1,0,1187.9
,2021-02-19,ABBOTINDIA,0,2,1,0,0,0,14716.3
,2021-02-19,ADANIENT,3,2,0,0,2,0,781.9
,2021-02-19,ADANIGREEN,1,5,0,0,1,0,1117.7
,2021-02-19,ADANIPORTS,3,2,0,0,2,0,653.5
,2021-02-19,ADANITRANS,6,4,0,0,4,0,770.15
,2021-02-19,ABCAPITAL,3,3,0,0,3,0,98.65
,2021-02-19,ABFRL,0,0,1,1,0,1,166.0
,2021-02-19,AJANTPHARM,0,0,2,1,0,1,1738.4
,2021-02-19,APLLTD,1,0,0,1,0,0,902.4
,2021-02-19,ALKEM,0,0,3,5,0,3,2875.5
,2021-02-19,AMARAJABAT,0,0,1,1,0,1,877.55
,2021-02-19,AMBUJACEM,3,3,0,0,3,0,275.3
,2021-02-19,APOLLOHOSP,6,2,0,0,2,0,2919.95
,2021-02-19,APOLLOTYRE,0,0,1,1,0,1,238.55
,2021-02-19,ASHOKLEY,0,0,2,1,0,1,123.4
,2021-02-19,ASIANPAINT,0,2,1,0,0,0,2416.45
,2021-02-19,AUROPHARMA,0,0,1,1,0,1,888.55
,2021-02-19,DMART,4,3,0,0,3,0,3101.65
,2021-02-19,AXISBANK,1,3,0,0,1,0,749.65
,2021-02-19,BAJAJ-AUTO,0,0,2,1,0,1,4001.1
,2021-02-19,BAJFINANCE,3,2,0,0,2,0,5497.95
,2021-02-19,BAJAJFINSV,3,2,0,0,2,0,10250.45
,2021-02-19,BAJAJHLDNG,6,4,0,0,4,0,3611.0
,2021-02-19,BALKRISIND,0,0,1,1,0,1,1550.25
,2021-02-19,BANDHANBNK,1,3,0,0,1,0,337.25
,2021-02-19,BANKBARODA,1,3,0,0,1,0,91.2
,2021-02-19,BANKINDIA,1,3,0,0,1,0,84.3
,2021-02-19,BATAINDIA,0,1,1,0,0,0,1499.0
,2021-02-19,BERGEPAINT,0,2,1,0,0,0,741.25
,2021-02-19,BEL,1,0,0,1,0,0,135.4
,2021-02-19,BHARATFORG,0,0,2,1,0,1,603.0
,2021-02-19,BHEL,1,3,0,0,1,0,40.4
,2021-02-19,BPCL,3,0,0,1,0,0,430.0
,2021-02-19,BHARTIARTL,0,0,2,1,0,1,581.35
,2021-02-19,BIOCON,1,2,0,0,1,0,404.0
,2021-02-19,BBTC,0,0,2,1,0,1,1192.25
,2021-02-19,BOSCHLTD,0,0,2,1,0,1,15581.45
,2021-02-19,BRITANNIA,0,0,1,2,0,1,3331.2
,2021-02-19,CESC,0,1,4,0,0,0,611.4
,2021-02-19,CADILAHC,0,0,2,1,0,1,452.4
,2021-02-19,CANBK,1,3,0,0,1,0,160.0
,2021-02-19,CASTROLIND,0,0,1,1,0,1,128.8
,2021-02-19,CHOLAFIN,3,3,0,0,3,0,530.35
,2021-02-19,CIPLA,0,0,2,1,0,1,807.35
,2021-02-19,CUB,0,1,2,0,0,0,164.45
,2021-02-19,COALINDIA,0,0,2,1,0,1,139.25
,2021-02-19,COFORGE,0,2,1,0,0,0,2570.25
,2021-02-19,COLPAL,1,0,0,2,0,0,1554.8
,2021-02-19,CONCOR,4,3,0,0,3,0,568.95
,2021-02-19,COROMANDEL,1,1,0,0,1,0,768.4
,2021-02-19,CROMPTON,0,1,4,0,0,0,396.65
,2021-02-19,CUMMINSIND,0,0,1,1,0,1,769.7
,2021-02-19,DLF,3,0,0,1,0,0,300.6
,2021-02-19,DABUR,0,0,1,1,0,1,513.45
,2021-02-19,DALBHARAT,3,4,0,0,3,0,1476.3
,2021-02-19,DEEPAKNTR,3,3,0,0,3,0,1280.05
,2021-02-19,DHANI,1,3,0,0,1,0,357.05
,2021-02-19,DIVISLAB,0,0,1,1,0,1,3523.2
,2021-02-19,DIXON,3,4,0,0,3,0,19479.25
,2021-02-19,LALPATHLAB,1,2,0,0,1,0,2428.9
,2021-02-19,DRREDDY,0,0,1,1,0,1,4681.45
,2021-02-19,EICHERMOT,0,0,1,1,0,1,2584.65
,2021-02-19,EMAMILTD,0,0,1,1,0,1,473.9
,2021-02-19,ENDURANCE,0,0,1,1,0,1,1395.45
,2021-02-19,ESCORTS,0,0,1,1,0,1,1335.95
,2021-02-19,EXIDEIND,0,0,1,1,0,1,204.45
,2021-02-19,FEDERALBNK,1,3,0,0,1,0,83.45
,2021-02-19,FORTIS,0,0,1,1,0,1,158.85
,2021-02-19,GAIL,2,2,0,0,2,0,145.4
,2021-02-19,GMRINFRA,0,0,2,1,0,1,25.2
,2021-02-19,GLENMARK,0,0,1,1,0,1,482.25
,2021-02-19,GODREJAGRO,0,0,4,4,0,4,484.05
,2021-02-19,GODREJCP,0,0,4,2,0,2,709.7
,2021-02-19,GODREJIND,0,0,2,1,0,1,448.0
,2021-02-19,GODREJPROP,3,3,0,0,3,0,1523.25
,2021-02-19,GRASIM,6,4,0,0,4,0,1218.0
,2021-02-19,GUJGASLTD,3,3,0,0,3,0,495.85
,2021-02-19,GSPL,3,3,0,0,3,0,248.7
,2021-02-19,HCLTECH,0,0,1,1,0,1,950.15
,2021-02-19,HDFCAMC,0,0,1,1,0,1,2934.25
,2021-02-19,HDFCBANK,3,0,0,1,0,0,1539.1
,2021-02-19,HDFCLIFE,0,3,1,0,0,0,710.65
,2021-02-19,HAVELLS,2,2,0,0,2,0,1139.0
,2021-02-19,HEROMOTOCO,6,0,0,1,0,0,3389.7
,2021-02-19,HINDALCO,3,3,0,0,3,0,308.0
,2021-02-19,HAL,3,3,0,0,3,0,1061.35
,2021-02-19,HINDPETRO,1,0,0,1,0,0,244.0
,2021-02-19,HINDUNILVR,0,0,1,1,0,1,2181.1
,2021-02-19,HINDZINC,3,3,0,0,3,0,300.5
,2021-02-19,HDFC,3,3,0,0,3,0,2741.3
,2021-02-19,ICICIBANK,3,0,0,1,0,0,624.05
,2021-02-19,ICICIGI,3,2,0,0,2,0,1493.75
,2021-02-19,ICICIPRULI,1,2,0,0,1,0,485.45
,2021-02-19,ISEC,0,0,6,1,0,1,402.9
