SYMBOL,DATE,NAME,HH,HL,LH,LL,HHL,LHL,CLOSE
,2021-02-26,ACC,4,0,0,1,0,0,1733.2
,2021-02-26,AUBANK,4,0,0,1,0,0,1126.5
,2021-02-26,AARTIIND,0,2,1,0,0,0,1235.0
,2021-02-26,ABBOTINDIA,0,0,2,1,0,1,14389.45
,2021-02-26,ADANIENT,4,3,0,0,3,0,833.65
,2021-02-26,ADANIGREEN,2,6,0,0,2,0,1159.85
,2021-02-26,ADANIPORTS,4,3,0,0,3,0,675.9
,2021-02-26,ADANITRANS,0,5,1,0,0,0,750.0
,2021-02-26,ABCAPITAL,4,4,0,0,4,0,123.65
,2021-02-26,ABFRL,1,1,0,0,1,0,183.6
,2021-02-26,AJANTPHARM,1,0,0,2,0,0,1747.7
,2021-02-26,APLLTD,0,0,1,2,0,1,920.75
,2021-02-26,ALKEM,0,0,4,6,0,4,2722.05
,2021-02-26,AMARAJABAT,0,1,2,0,0,0,882.15
,2021-02-26,AMBUJACEM,0,0,1,1,0,1,273.5
,2021-02-26,APOLLOHOSP,0,3,1,0,0,0,3058.65
,2021-02-26,APOLLOTYRE,0,0,2,2,0,2,232.1
,2021-02-26,ASHOKLEY,0,0,3,2,0,2,128.85
,2021-02-26,ASIANPAINT,0,0,2,1,0,1,2277.2
,2021-02-26,AUROPHARMA,0,0,2,2,0,2,855.2
,2021-02-26,DMART,0,0,1,1,0,1,2994.2
,2021-02-26,AXISBANK,0,0,1,1,0,1,724.8
,2021-02-26,BAJAJ-AUTO,0,0,3,2,0,2,3798.7
,2021-02-26,BAJFINANCE,0,0,1,1,0,1,5264.9
,2021-02-26,BAJAJFINSV,0,0,1,1,0,1,9648.6
,2021-02-26,BAJAJHLDNG,7,5,0,0,5,0,3630.2
,2021-02-26,BALKRISIND,0,0,2,2,0,2,1558.0
,2021-02-26,BANDHANBNK,0,0,1,1,0,1,345.25
,2021-02-26,BANKBARODA,0,4,1,0,0,0,85.4
,2021-02-26,BANKINDIA,0,4,1,0,0,0,82.45
,2021-02-26,BATAINDIA,0,0,2,1,0,1,1438.2
,2021-02-26,BERGEPAINT,0,0,2,1,0,1,679.85
,2021-02-26,BEL,0,0,1,2,0,1,137.1
,2021-02-26,BHARATFORG,0,0,3,2,0,2,610.05
,2021-02-26,BHEL,2,0,0,1,0,0,47.6
,2021-02-26,BPCL,4,1,0,0,1,0,449.85
,2021-02-26,BHARTIARTL,0,0,3,2,0,2,556.3
,2021-02-26,BIOCON,0,0,1,1,0,1,390.2
,2021-02-26,BBTC,0,0,3,2,0,2,1159.5
,2021-02-26,BOSCHLTD,0,0,3,2,0,2,14854.9
,2021-02-26,BRITANNIA,0,0,2,3,0,2,3363.75
,2021-02-26,CESC,0,0,5,1,0,1,605.7
,2021-02-26,CADILAHC,0,0,3,2,0,2,435.2
,2021-02-26,CANBK,0,0,1,1,0,1,157.2
,2021-02-26,CASTROLIND,0,0,2,2,0,2,129.7
,2021-02-26,CHOLAFIN,4,4,0,0,4,0,518.9
,2021-02-26,CIPLA,0,0,3,2,0,2,787.05
,2021-02-26,CUB,0,0,3,1,0,1,165.3
,2021-02-26,COALINDIA,1,1,0,0,1,0,152.2
,2021-02-26,COFORGE,0,0,2,1,0,1,2542.05
,2021-02-26,COLPAL,0,0,1,3,0,1,1581.2
,2021-02-26,CONCOR,5,4,0,0,4,0,557.85
,2021-02-26,COROMANDEL,0,0,1,1,0,1,771.35
,2021-02-26,CROMPTON,0,0,5,1,0,1,385.15
,2021-02-26,CUMMINSIND,1,1,0,0,1,0,787.75
,2021-02-26,DLF,0,0,1,2,0,1,302.5
,2021-02-26,DABUR,0,0,2,2,0,2,503.1
,2021-02-26,DALBHARAT,4,0,0,1,0,0,1436.15
,2021-02-26,DEEPAKNTR,4,4,0,0,4,0,1368.65
,2021-02-26,DHANI,0,0,1,1,0,1,362.0
,2021-02-26,DIVISLAB,0,0,2,2,0,2,3363.1
,2021-02-26,DIXON,4,5,0,0,4,0,19848.9
,2021-02-26,LALPATHLAB,0,0,1,1,0,1,2300.7
