SYMBOL,DATE,NAME,HH,HL,LH,LL,HHL,LHL,CLOSE
,2021-02-12,ACC,2,1,0,0,1,0,1765.75
,2021-02-12,AUBANK,2,2,0,0,2,0,1099.3
,2021-02-12,AARTIIND,2,0,0,1,0,0,1214.15
,2021-02-12,ABBOTINDIA,1,1,0,0,1,0,14439.1
,2021-02-12,ADANIENT,2,1,0,0,1,0,718.95
,2021-02-12,ADANIGREEN,0,4,1,0,0,0,1068.95
,2021-02-12,ADANIPORTS,2,1,0,0,1,0,616.6
,2021-02-12,ADANITRANS,5,3,0,0,3,0,627.55
,2021-02-12,ABCAPITAL,2,2,0,0,2,0,88.7
,2021-02-12,ABFRL,1,1,0,0,1,0,166.45
,2021-02-12,AJANTPHARM,0,2,1,0,0,0,1804.6
,2021-02-12,APLLTD,0,2,1,0,0,0,965.9
,2021-02-12,ALKEM,0,0,2,4,0,2,2869.25
,2021-02-12,AMARAJABAT,1,1,0,0,1,0,987.65
,2021-02-12,AMBUJACEM,2,2,0,0,2,0,277.45
,2021-02-12,APOLLOHOSP,5,1,0,0,1,0,2748.1
,2021-02-12,APOLLOTYRE,5,1,0,0,1,0,239.6
,2021-02-12,ASHOKLEY,0,1,1,0,0,0,128.25
,2021-02-12,ASIANPAINT,1,1,0,0,1,0,2486.1
,2021-02-12,AUROPHARMA,1,1,0,0,1,0,929.95
,2021-02-12,DMART,3,2,0,0,2,0,2928.9
,2021-02-12,AXISBANK,0,2,1,0,0,0,750.4
,2021-02-12,BAJAJ-AUTO,0,1,1,0,0,0,4136.05
,2021-02-12,BAJFINANCE,2,1,0,0,1,0,5577.45
,2021-02-12,BAJAJFINSV,2,1,0,0,1,0,10278.8
,2021-02-12,BAJAJHLDNG,5,3,0,0,3,0,3544.6
,2021-02-12,BALKRISIND,2,1,0,0,1,0,1655.15
,2021-02-12,BANDHANBNK,0,2,1,0,0,0,337.5
,2021-02-12,BANKBARODA,0,2,1,0,0,0,78.35
,2021-02-12,BANKINDIA,0,2,1,0,0,0,58.85
